³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2018-04-27,61700,0.0,8.2,0,0.0,0
2018-04-30,61700,0.0,7.91,0,0.0,0
2018-05-02,60099,0.0,6.72,0,0.0,0
2018-05-03,60099,0.0,6.49,0,0.0,0
2018-05-04,60099,0.0,5.98,0,0.0,0
2018-05-08,60099,0.0,6.16,0,0.0,0
2018-05-09,60099,0.0,6.62,0,0.0,0
2018-05-10,60099,0.0,6.48,0,0.0,0
2018-05-11,60099,0.0,6.43,0,0.0,0
2018-05-14,60099,0.0,6.13,0,0.0,0
2018-05-15,60099,0.0,6.46,0,0.0,0
2018-05-16,60099,0.0,6.89,0,0.0,0
2018-05-17,60099,0.0,6.62,0,0.0,0
2018-05-18,60099,0.0,6.8,0,0.0,0
2018-05-21,60099,0.0,6.82,0,0.0,0
2018-05-23,60099,0.0,6.65,0,0.0,0
2018-05-24,60099,0.0,6.96,0,0.0,0
2018-05-25,60099,0.0,7.16,0,0.0,0
2018-05-28,60099,0.0,7.14,0,0.0,0
2018-05-29,60099,0.0,7.2,0,0.0,0
2018-05-30,60099,0.0,7.08,0,0.0,0
2018-05-31,60099,0.0,7.24,0,0.0,0
2018-06-01,60099,0.0,7.51,0,0.0,0
2018-06-04,60099,0.0,6.97,0,0.0,0
2018-06-05,60099,0.0,7.01,0,0.0,0
2018-06-07,60099,0.0,6.99,0,0.0,0
2018-06-08,60099,0.0,7.01,0,0.0,0
2018-06-11,60099,0.0,6.99,0,0.0,0
2018-06-12,60099,0.0,7.15,0,0.0,0
2018-06-14,60099,0.0,6.79,0,0.0,0
2018-06-15,60099,0.0,6.79,0,0.0,0
2018-06-18,60099,0.0,6.78,0,0.0,0
2018-06-19,60099,0.0,6.34,0,0.0,0
2018-06-20,60099,0.0,6.99,0,0.0,0
2018-06-21,60099,0.0,6.91,0,0.0,0
2018-06-22,60099,0.0,7.28,0,0.0,0
2018-06-25,60099,0.0,7.0,0,0.0,0
2018-06-26,60099,0.0,6.92,0,0.0,0
2018-06-27,60099,0.0,6.96,0,0.0,0
2018-06-28,60099,0.0,6.81,0,0.0,0
2018-06-29,60099,0.0,6.94,0,0.0,0
2018-07-02,60099,0.0,6.9,0,0.0,0
2018-07-03,60099,0.0,7.14,0,0.0,0
2018-07-04,60099,0.0,7.01,0,0.0,0
2018-07-05,60099,0.0,6.87,0,0.0,0
2018-07-06,60099,0.0,6.82,0,0.0,0
2018-07-09,60099,0.0,7.1,0,0.0,0
2018-07-10,60099,0.0,6.94,0,0.0,0
2018-07-11,60099,0.0,6.91,0,0.0,0
2018-07-12,60099,0.0,7.14,0,0.0,0
2018-07-13,60099,0.0,6.69,0,0.0,0
2018-07-16,60099,0.0,6.82,0,0.0,0
2018-07-17,60099,0.0,6.87,0,0.0,0
2018-07-18,60099,0.0,6.9,0,0.0,0
2018-07-19,60099,0.0,7.05,0,0.0,0
2018-07-20,60099,0.0,7.06,0,0.0,0
2018-07-23,60099,0.0,6.9,0,0.0,0
2018-07-24,60099,0.0,6.83,0,0.0,0
2018-07-25,60099,0.0,6.46,0,0.0,0
2018-07-26,60099,0.0,6.23,0,0.0,0
2018-07-27,60099,0.0,6.23,0,0.0,0
2018-07-30,60099,0.0,6.17,0,0.0,0
2018-07-31,60099,0.0,6.21,0,0.0,0
2018-08-01,60099,0.0,6.37,0,0.0,0
2018-08-02,60099,0.0,6.29,0,0.0,0
2018-08-03,60099,0.0,6.52,0,0.0,0
2018-08-06,60099,0.0,6.62,0,0.0,0
2018-08-07,60099,0.0,7.06,0,0.0,0
2018-08-08,60099,0.0,7.55,0,0.0,0
2018-08-09,60099,0.0,7.65,0,0.0,0
2018-08-10,60099,0.0,7.72,0,0.0,0
2018-08-13,60099,0.0,7.42,0,0.0,0
2018-08-14,60099,0.0,7.59,0,0.0,0
2018-08-16,60099,0.0,7.32,0,0.0,0
2018-08-17,60099,0.0,7.62,0,0.0,0
2018-08-20,60099,0.0,7.55,0,0.0,0
