³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2020-04-02,62805,137.14,7.4,3387,0.0,0
2020-04-03,62805,138.03,7.44,3387,0.0,0
2020-04-06,62805,140.83,7.59,3387,0.0,0
2020-04-07,62805,142.46,7.68,3387,0.0,0
2020-04-08,62805,140.98,7.6,3387,0.0,0
2020-04-09,62805,141.28,7.62,3387,0.0,0
2020-04-10,62805,165.04,8.9,3387,0.0,0
2020-04-13,62805,159.14,8.58,3387,0.0,0
2020-04-14,62805,160.02,8.63,3387,0.0,0
2020-04-16,62805,159.43,8.6,3387,0.0,0
2020-04-17,62805,167.11,9.01,3387,0.0,0
2020-04-20,62805,167.11,9.01,3387,0.0,0
2020-04-21,62805,170.95,9.22,3387,0.0,0
2020-04-22,62805,171.24,9.23,3387,0.0,0
2020-04-23,62805,177.44,9.57,3387,0.0,0
2020-04-24,62805,174.49,9.41,3387,0.0,0
2020-04-27,62805,173.6,9.36,3387,0.0,0
2020-04-28,62805,173.6,9.36,3387,0.0,0
2020-04-29,62805,171.54,9.25,3387,0.0,0
2020-05-04,65812,181.28,8.45,3067,0.0,0
2020-05-06,65812,187.48,8.74,3067,0.0,0
2020-05-07,65812,184.87,8.62,3067,0.0,0
2020-05-08,65812,191.72,8.93,3067,0.0,0
2020-05-11,65812,191.07,8.9,3067,0.0,0
2020-05-12,65812,193.02,9.0,3067,0.0,0
2020-05-13,65812,200.85,9.36,3067,0.0,0
2020-05-14,65812,199.54,9.3,3067,0.0,0
2020-05-15,65812,197.26,9.19,3067,0.0,0
2020-05-18,65812,194.65,9.07,3067,0.0,0
2020-05-19,65812,195.63,9.12,3067,0.0,0
2020-05-20,65812,195.63,9.12,3067,0.0,0
2020-05-21,65812,198.57,9.25,3067,0.0,0
2020-05-22,65812,201.5,9.39,3067,0.0,0
2020-05-25,65812,206.06,9.6,3067,0.0,0
2020-05-26,65812,210.3,9.8,3067,0.0,0
2020-05-27,65812,203.46,9.48,3067,0.0,0
2020-05-28,65812,199.22,9.28,3067,0.0,0
2020-05-29,65812,202.8,9.45,3067,0.0,0
2020-06-01,65812,205.09,9.56,3067,0.0,0
2020-06-02,65812,205.09,9.56,3067,0.0,0
2020-06-03,65812,204.11,9.51,3067,0.0,0
2020-06-04,65812,211.93,9.88,3067,0.0,0
2020-06-05,65812,216.82,10.1,3067,0.0,0
2020-06-08,65812,216.5,10.09,3067,0.0,0
2020-06-09,65812,220.41,10.27,3067,0.0,0
2020-06-10,65812,229.54,10.7,3067,0.0,0
2020-06-11,65812,243.56,11.35,3067,0.0,0
2020-06-12,65812,262.47,12.23,3067,0.0,0
2020-06-15,65812,263.45,12.28,3067,0.0,0
2020-06-16,65812,269.32,12.55,3067,0.0,0
2020-06-17,65812,268.67,12.52,3067,0.0,0
2020-06-18,65812,264.1,12.31,3067,0.0,0
2020-06-19,65812,261.17,12.17,3067,0.0,0
2020-06-22,65812,258.56,12.05,3067,0.0,0
2020-06-23,65812,261.49,12.19,3067,0.0,0
2020-06-24,65812,267.04,12.44,3067,0.0,0
2020-06-25,65812,265.73,12.38,3067,0.0,0
2020-06-26,65812,264.1,12.31,3067,0.0,0
2020-06-29,65812,255.62,11.91,3067,0.0,0
2020-06-30,65812,252.69,11.78,3067,0.0,0
2020-07-01,65812,245.19,11.43,3067,0.0,0
2020-07-02,65812,256.28,11.94,3067,0.0,0
2020-07-03,65812,251.39,11.72,3067,0.0,0
2020-07-06,65812,245.84,11.46,3067,0.0,0
2020-07-07,65812,244.86,11.41,3067,0.0,0
2020-07-08,65812,239.97,11.18,3067,0.0,0
2020-07-09,65812,241.6,11.26,3067,0.0,0
2020-07-10,65812,238.34,11.11,3067,0.0,0
2020-07-13,65812,238.02,11.09,3067,0.0,0
2020-07-14,65812,239.65,11.17,3067,0.0,0
2020-07-15,65812,244.21,11.38,3067,0.0,0
2020-07-16,65812,238.67,11.12,3067,0.0,0
2020-07-17,65812,242.26,11.29,3067,0.0,0
2020-07-20,65812,240.95,11.23,3067,0.0,0
2020-07-21,65812,244.54,11.4,3067,0.0,0
2020-07-22,65812,257.58,12.0,3067,0.0,0
2020-07-23,65812,252.69,11.78,3067,0.0,0
2020-07-24,65812,246.17,11.47,3067,0.0,0
2020-07-27,65812,245.84,11.46,3067,0.0,0
2020-07-28,65812,248.13,11.56,3067,0.0,0
2020-07-29,65812,241.6,11.26,3067,0.0,0
2020-07-30,65812,239.97,11.18,3067,0.0,0
2020-07-31,65812,239.0,11.14,3067,0.0,0
2020-08-03,65812,239.97,11.18,3067,0.0,0
2020-08-04,65812,239.65,11.17,3067,0.0,0
2020-08-05,65812,256.6,11.96,3067,0.0,0
2020-08-06,65812,253.67,11.82,3067,0.0,0
2020-08-07,65812,250.41,11.67,3067,0.0,0
2020-08-10,65812,251.39,11.72,3067,0.0,0
2020-08-11,65812,262.15,12.22,3067,0.0,0
2020-08-12,65812,274.86,12.81,3067,0.0,0
2020-08-13,65812,267.36,12.46,3067,0.0,0
2020-08-14,65812,260.84,12.16,3067,0.0,0
2020-08-18,65812,261.49,12.19,3067,0.0,0
2020-08-19,65812,263.78,12.29,3067,0.0,0
2020-08-20,65812,258.88,12.06,3067,0.0,0
2020-08-21,65812,260.52,12.14,3067,0.0,0
2020-08-24,65812,267.36,12.46,3067,0.0,0
2020-08-25,65812,265.73,12.38,3067,0.0,0
2020-08-26,65812,264.75,12.34,3067,0.0,0
2020-08-27,65812,261.17,12.17,3067,0.0,0
2020-08-28,65812,260.52,12.14,3067,0.0,0
2020-08-31,65812,253.67,11.82,3067,0.0,0
2020-09-01,65812,254.65,11.87,3067,0.0,0
2020-09-02,65812,251.06,11.7,3067,0.0,0
2020-09-03,65812,253.99,11.84,3067,0.0,0
2020-09-04,65812,252.04,11.75,3067,0.0,0
2020-09-07,65812,253.02,11.79,3067,0.0,0
2020-09-08,65812,252.36,11.76,3067,0.0,0
2020-09-09,65812,247.47,11.53,3067,0.0,0
2020-09-10,65812,249.1,11.61,3067,0.0,0
2020-09-11,65812,248.13,11.56,3067,0.0,0
2020-09-14,65812,248.78,11.59,3067,0.0,0
2020-09-15,65812,252.04,11.75,3067,0.0,0
2020-09-16,65812,253.02,11.79,3067,0.0,0
2020-09-17,65812,246.82,11.5,3067,0.0,0
2020-09-18,65812,247.15,11.52,3067,0.0,0
2020-09-21,65812,241.28,11.24,3067,0.0,0
2020-09-22,65812,238.34,11.11,3067,0.0,0
2020-09-23,65812,229.87,10.71,3067,0.0,0
2020-09-24,65812,219.43,10.23,3067,0.0,0
2020-09-25,65812,220.08,10.26,3067,0.0,0
2020-09-28,65812,223.35,10.41,3067,0.0,0
2020-09-29,65812,224.98,10.48,3067,0.0,0
2020-10-05,65812,223.35,10.41,3067,0.0,0
2020-10-06,65812,232.15,10.82,3067,0.0,0
2020-10-07,65812,235.08,10.96,3067,0.0,0
2020-10-08,65812,233.13,10.86,3067,0.0,0
2020-10-12,65812,234.43,10.93,3067,0.0,0
2020-10-13,65812,235.74,10.99,3067,0.0,0
2020-10-14,65812,230.52,10.74,3067,0.0,0
2020-10-15,65812,229.54,10.7,3067,0.0,0
2020-10-16,65812,224.0,10.44,3067,0.0,0
2020-10-19,65812,223.67,10.42,3067,0.0,0
2020-10-20,65812,222.37,10.36,3067,0.0,0
2020-10-21,65812,224.32,10.45,3067,0.0,0
2020-10-22,65812,214.54,10.0,3067,0.0,0
2020-10-23,65812,207.37,9.66,3067,0.0,0
2020-10-26,65812,205.41,9.57,3067,0.0,0
2020-10-27,65812,207.04,9.65,3067,0.0,0
2020-10-28,65812,207.69,9.68,3067,0.0,0
2020-10-29,65812,227.26,10.59,3067,0.0,0
2020-10-30,65812,222.37,10.36,3067,0.0,0
2020-11-02,65812,227.58,10.61,3067,0.0,0
2020-11-03,65812,227.91,10.62,3067,0.0,0
2020-11-04,65812,239.0,11.14,3067,0.0,0
2020-11-05,65812,254.65,11.87,3067,0.0,0
2020-11-06,65812,253.34,11.81,3067,0.0,0
2020-11-09,65812,248.13,11.56,3067,0.0,0
2020-11-10,65812,245.19,11.43,3067,0.0,0
2020-11-11,65812,248.13,11.56,3067,0.0,0
2020-11-12,65812,245.52,11.44,3067,0.0,0
2020-11-13,65812,246.82,11.5,3067,0.0,0
2020-11-16,65812,247.15,11.52,3067,0.0,0
2020-11-17,65812,252.36,11.76,3067,0.0,0
2020-11-18,65812,264.75,12.34,3067,0.0,0
2020-11-19,65812,263.45,12.28,3067,0.0,0
2020-11-20,65812,260.52,12.14,3067,0.0,0
2020-11-23,65812,262.15,12.22,3067,0.0,0
2020-11-24,65812,261.49,12.19,3067,0.0,0
2020-11-25,65812,261.82,12.2,3067,0.0,0
2020-11-26,65812,260.52,12.14,3067,0.0,0
2020-11-27,65812,260.52,12.14,3067,0.0,0
2020-11-30,65812,256.28,11.94,3067,0.0,0
2020-12-01,65812,258.56,12.05,3067,0.0,0
2020-12-02,65812,257.58,12.0,3067,0.0,0
2020-12-03,65812,262.47,12.23,3067,0.0,0
2020-12-04,65812,268.99,12.54,3067,0.0,0
2020-12-07,65812,286.93,13.37,3067,0.0,0
2020-12-08,65812,269.97,12.58,3067,0.0,0
2020-12-09,65812,268.01,12.49,3067,0.0,0
2020-12-10,65812,267.04,12.44,3067,0.0,0
2020-12-11,65812,267.36,12.46,3067,0.0,0
2020-12-14,65812,264.75,12.34,3067,0.0,0
2020-12-15,65812,260.84,12.16,3067,0.0,0
2020-12-16,65812,263.12,12.26,3067,0.0,0
2020-12-17,65812,262.15,12.22,3067,0.0,0
2020-12-18,65812,261.49,12.19,3067,0.0,0
2020-12-21,65812,268.34,12.51,3067,0.0,0
2020-12-22,65812,261.82,12.2,3067,0.0,0
2020-12-23,65812,259.54,12.1,3067,0.0,0
2020-12-24,65812,258.88,12.06,3067,0.0,0
2020-12-28,65812,257.25,11.99,3067,0.0,0
2020-12-29,65812,268.01,12.49,3067,0.0,0
2020-12-30,65812,269.32,12.55,3067,0.0,0
2021-01-04,65812,270.3,12.6,3067,0.0,0
2021-01-05,65812,271.27,12.64,3067,0.0,0
2021-01-06,65812,266.38,12.41,3067,0.0,0
2021-01-07,65812,267.04,12.44,3067,0.0,0
2021-01-08,65812,272.91,12.72,3067,0.0,0
2021-01-11,65812,275.84,12.85,3067,0.0,0
2021-01-12,65812,266.71,12.43,3067,0.0,0
2021-01-13,65812,270.62,12.61,3067,0.0,0
2021-01-14,65812,266.06,12.4,3067,0.0,0
2021-01-15,65812,262.15,12.22,3067,0.0,0
2021-01-18,65812,256.93,11.97,3067,0.0,0
2021-01-19,65812,259.54,12.1,3067,0.0,0
2021-01-20,65812,259.21,12.08,3067,0.0,0
2021-01-21,65812,259.54,12.1,3067,0.0,0
2021-01-22,65812,258.88,12.06,3067,0.0,0
2021-01-25,65812,257.58,12.0,3067,0.0,0
2021-01-26,65812,261.49,12.19,3067,0.0,0
2021-01-27,65812,276.82,12.9,3067,0.0,0
2021-01-28,65812,273.23,12.73,3067,0.0,0
2021-01-29,65812,258.56,12.05,3067,0.0,0
2021-02-01,65812,265.08,12.35,3067,0.0,0
2021-02-02,65812,269.32,12.55,3067,0.0,0
2021-02-03,65812,268.99,12.54,3067,0.0,0
2021-02-04,65812,265.08,12.35,3067,0.0,0
2021-02-05,65812,264.75,12.34,3067,0.0,0
2021-02-08,65812,262.15,12.22,3067,0.0,0
2021-02-09,65812,261.49,12.19,3067,0.0,0
2021-02-10,65812,260.52,12.14,3067,0.0,0
2021-02-15,65812,260.84,12.16,3067,0.0,0
2021-02-16,65812,259.54,12.1,3067,0.0,0
2021-02-17,65812,256.28,11.94,3067,0.0,0
2021-02-18,65812,255.3,11.9,3067,0.0,0
2021-02-19,65812,258.56,12.05,3067,0.0,0
2021-02-22,65812,254.32,11.85,3067,0.0,0
2021-02-23,65812,247.8,11.55,3067,0.0,0
2021-02-24,65812,243.56,11.35,3067,0.0,0
2021-02-25,65812,252.69,11.78,3067,0.0,0
2021-02-26,65812,244.54,11.4,3067,0.0,0
2021-03-02,65812,245.52,11.44,3067,0.0,0
2021-03-03,65812,248.13,11.56,3067,0.0,0
2021-03-04,65812,243.89,11.37,3067,0.0,0
2021-03-05,65812,234.43,10.93,3067,0.0,0
2021-03-08,65812,226.93,10.58,3067,0.0,0
2021-03-09,65812,224.0,10.44,3067,0.0,0
2021-03-10,65812,223.35,10.41,3067,0.0,0
2021-03-11,65812,233.13,10.86,3067,0.0,0
2021-03-12,65812,242.26,11.29,3067,0.0,0
2021-03-15,65812,239.65,11.17,3067,0.0,0
2021-03-16,65812,239.0,11.14,3067,0.0,0
2021-03-17,65812,234.43,10.93,3067,0.0,0
2021-03-18,65812,235.41,10.97,3067,0.0,0
2021-03-19,65812,230.84,10.76,3067,0.0,0
2021-03-22,65812,233.13,10.86,3067,0.0,0
2021-03-23,65812,232.47,10.83,3067,0.0,0
2021-03-24,65812,233.45,10.88,3067,0.0,0
2021-03-25,65812,234.1,10.91,3067,0.0,0
2021-03-26,65812,236.39,11.02,3067,0.0,0
2021-03-29,65812,243.89,11.37,3067,0.0,0
2021-03-30,65812,243.56,11.35,3067,0.0,0
2021-03-31,65812,243.89,11.37,3067,0.0,0
2021-04-01,65812,243.56,11.35,3067,0.0,0
2021-04-02,65812,242.58,11.3,3067,0.0,0
