data,algorithm,rmse,r2
고가 PER foreign_보유수량 종가,gru,905.4587736595596,0.9828350391801774
고가 PER 종가,gru,905.8184835263136,0.9828213982891812
고가 시가 WMA PER foreign_보유수량 종가,gru,906.4320421514062,0.9827981184618998
고가 PER foreign_보유수량 MA20 종가,gru,906.7330365894692,0.9827866922763984
고가 foreign_보유수량 종가,gru,907.5115838556004,0.9827571198961448
고가 MA5 MA20 종가,gru,907.558274199298,0.9827553456009782
고가 WMA foreign_보유수량 종가,lstm,908.9117506925488,0.982703872017141
고가 MA5 WMA PER 종가,gru,908.9634694584392,0.9827019035975588
고가 시가 MA20 종가,gru,909.1758069279272,0.9826938208458132
고가 시가 MA5 PER 종가,gru,909.2215868964904,0.9826920779567516
고가 MA5 foreign_보유수량 MA20 종가,lstmgru,909.3613638340798,0.9826867559663092
고가 종가,gru,909.5444953353732,0.98267978201788
고가 MA5 PER foreign_보유수량 종가,gru,909.5819870044364,0.9826783541003508
고가 foreign_보유수량 MA20 종가,lstm,909.9120894060918,0.9826657791932896
고가 MA5 WMA PER foreign_보유수량 종가,gru,909.9711639659424,0.98266352832814
고가 foreign_보유수량 MA20 종가,gru,910.0326200051908,0.9826611865685254
고가 시가 MA5 WMA MA20 종가,gru,910.2650719339432,0.9826523276434964
고가 MA5 WMA foreign_보유수량 MA20 종가,gru,910.3755291202914,0.9826481172406204
고가 MA5 PER 종가,gru,910.3849823980628,0.9826477568772012
고가 WMA PER foreign_보유수량 MA20 종가,gru,910.3875124919284,0.9826476604281916
고가 MA5 WMA MA20 종가,gru,910.423455004002,0.982646290244665
고가 MA5 WMA 종가,gru,910.456961843368,0.9826450128639868
고가 foreign_보유수량 종가,lstmgru,910.4701002664772,0.9826445119752708
고가 MA5 foreign_보유수량 종가,gru,910.5857603727998,0.9826401022421252
고가 WMA PER 종가,gru,910.5944420720884,0.9826397712153574
고가 WMA MA20 종가,gru,910.7395151895038,0.9826342392177688
고가 WMA 종가,lstm,910.9996382476048,0.9826243178740124
WMA PER foreign_보유수량 MA20 종가,lstmgru,911.2224479505608,0.9826158174447098
고가 MA5 foreign_보유수량 종가,lstmgru,911.2275914439804,0.982615621190368
고가 MA5 foreign_보유수량 MA20 종가,lstm,911.3170325680386,0.9826122083115096
고가 시가 MA5 foreign_보유수량 MA20 종가,gru,911.3774218346348,0.9826099037989392
고가 WMA foreign_보유수량 MA20 종가,gru,911.5705993823316,0.9826025309321372
고가 MA5 PER MA20 종가,lstm,911.6179154132252,0.9826007248173978
고가 시가 MA5 PER foreign_보유수량 종가,gru,911.9322940061292,0.9825887221949476
고가 PER foreign_보유수량 종가,lstm,911.9615926640762,0.982587603394197
MA5 PER foreign_보유수량 종가,gru,912.2230326363044,0.9825776184363986
고가 WMA foreign_보유수량 MA20 종가,lstmgru,912.271832457588,0.9825757543487414
고가 MA5 종가,lstm,912.391847177932,0.98257116952337
저가 고가 MA5 foreign_보유수량 MA20 종가,gru,912.521181342005,0.9825662279996308
고가 MA5 WMA foreign_보유수량 종가,gru,912.7520087952454,0.9825574069393752
저가 고가 시가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,912.7831198389136,0.9825562178616906
고가 시가 MA5 MA20 종가,gru,912.8059377106406,0.9825553457268984
고가 MA5 WMA 종가,lstm,912.9374345053632,0.9825503192886262
고가 시가 종가,gru,913.3013704775436,0.982536404135018
고가 PER foreign_보유수량 MA20 종가,lstm,913.3454204164389,0.9825347195018682
고가 MA5 WMA PER foreign_보유수량 종가,lstmgru,913.532556797084,0.9825275618063496
고가 시가 WMA PER foreign_보유수량 MA20 종가,lstm,913.5468820719552,0.982527013824911
고가 시가 foreign_보유수량 종가,gru,913.5567942851038,0.9825266346502756
고가 MA5 foreign_보유수량 MA20 종가,gru,913.5711547260564,0.9825260853090524
고가 시가 foreign_보유수량 MA20 종가,gru,913.7013652941434,0.9825211038678272
고가 foreign_보유수량 종가,lstm,913.7502936691766,0.9825192318406728
고가 WMA 종가,gru,913.8619770253514,0.9825149583970836
고가 MA20 종가,gru,913.927300695501,0.9825124586149694
고가 MA20 종가,lstm,913.9604866190268,0.9825111885998444
고가 MA5 MA20 종가,lstm,914.0893915211026,0.982506255011284
고가 시가 MA5 foreign_보유수량 MA20 종가,lstmgru,914.1930767514212,0.982502286152511
고가 종가,lstm,914.2779828568056,0.982499035785024
PER foreign_보유수량 종가,gru,914.3288610779724,0.9824970879251392
고가 시가 PER MA20 종가,gru,914.5110873061492,0.982490110550545
MA5 WMA PER foreign_보유수량 종가,gru,914.599545718898,0.982486723009464
고가 MA5 PER MA20 종가,gru,914.638240873422,0.9824852410640637
고가 시가 MA5 WMA 종가,gru,915.0007081704676,0.9824713562624152
고가 WMA foreign_보유수량 종가,gru,915.048874343624,0.9824695107776984
고가 시가 PER foreign_보유수량 MA20 종가,gru,915.093883205653,0.982467786177411
고가 MA5 WMA foreign_보유수량 MA20 종가,lstm,915.126349980662,0.982466542098416
고가 시가 WMA PER foreign_보유수량 MA20 종가,gru,915.2341751609578,0.982462410079626
고가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,915.3650390408468,0.9824573945301632
고가 WMA foreign_보유수량 MA20 종가,lstm,915.7179435545962,0.982443865374506
고가 시가 PER foreign_보유수량 종가,gru,915.8632565064926,0.9824382930556916
고가 PER 종가,lstm,915.9604268424712,0.9824345663694684
고가 시가 WMA foreign_보유수량 종가,lstm,915.9728671216892,0.982434089230115
시가 MA5 WMA PER foreign_보유수량 종가,lstmgru,916.1149368643167,0.9824286397718452
고가 MA5 WMA foreign_보유수량 종가,lstm,916.201606239113,0.9824253149251884
고가 시가 MA5 WMA foreign_보유수량 종가,gru,916.238950057081,0.9824238822291288
고가 MA5 종가,gru,916.3056082590346,0.9824213247412033
고가 종가,lstmgru,916.3509796077384,0.9824195838636102
고가 시가 WMA foreign_보유수량 MA20 종가,gru,916.3636585472588,0.9824190973631756
고가 MA5 PER foreign_보유수량 종가,lstmgru,916.4258863968575,0.9824167095362446
WMA PER MA20 종가,gru,916.4707609955168,0.9824149874931796
저가 고가 시가 WMA PER foreign_보유수량 MA20 종가,gru,916.8709365100352,0.9823996272043524
고가 MA5 foreign_보유수량 종가,lstm,916.8730458066708,0.9823995462235986
MA5 PER foreign_보유수량 MA20 종가,gru,916.8995188350306,0.9823985298472516
고가 시가 PER 종가,gru,916.9001412613252,0.9823985059501475
고가 시가 WMA foreign_보유수량 종가,gru,916.9052270769404,0.9823983106874412
저가 고가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,916.9700910874898,0.9823958202303876
고가 WMA PER 종가,lstm,917.0260218483982,0.9823936726244676
저가 고가 종가,lstm,917.0343916627364,0.982393351232576
PER foreign_보유수량 MA20 종가,gru,917.053828042907,0.982392604885114
고가 시가 PER foreign_보유수량 MA20 종가,lstmgru,917.1666634649364,0.9823882717477926
저가 고가 시가 MA5 WMA PER foreign_보유수량 종가,gru,917.2854891733464,0.9823837079934972
고가 시가 MA5 종가,gru,917.3124997881764,0.982382670510861
고가 시가 MA5 WMA foreign_보유수량 MA20 종가,lstm,917.3199920533448,0.9823823827261788
고가 MA5 WMA MA20 종가,lstm,917.3810665007107,0.9823800367137352
고가 시가 MA5 종가,lstm,917.4822136613004,0.98237615107107
foreign_보유수량 MA20 종가,lstmgru,917.6102622259134,0.9823712313767072
MA5 foreign_보유수량 종가,gru,917.7710815003686,0.9823650516415198
고가 PER MA20 종가,lstm,917.8589119361042,0.9823616761607628
저가 고가 MA5 PER foreign_보유수량 종가,gru,917.8794311055958,0.9823608875258274
PER 종가,gru,918.1438107158292,0.9823507247677732
WMA PER foreign_보유수량 MA20 종가,gru,918.2377404215518,0.9823471134031728
고가 PER MA20 종가,gru,918.2731153626396,0.982345753228515
foreign_보유수량 종가,gru,918.29307416563,0.9823449857848066
고가 시가 WMA 종가,gru,918.3034388854132,0.9823445872403485
저가 고가 PER foreign_보유수량 MA20 종가,gru,918.3311859220504,0.9823435202884784
MA5 foreign_보유수량 종가,lstmgru,918.3890914338532,0.9823412935542803
고가 PER foreign_보유수량 MA20 종가,lstmgru,918.5921885126378,0.9823334824243612
고가 시가 MA5 WMA PER 종가,gru,918.6029363515636,0.982333069013495
고가 WMA PER foreign_보유수량 MA20 종가,lstmgru,918.6183914356468,0.9823324745320494
고가 시가 MA5 MA20 종가,lstm,918.7326600351834,0.9823280788679192
시가 MA5 종가,lstm,918.754450619553,0.9823272405695288
시가 PER foreign_보유수량 종가,gru,918.877435766448,0.9823225088756896
WMA foreign_보유수량 종가,gru,919.0518683676534,0.9823157967216712
저가 고가 WMA PER foreign_보유수량 MA20 종가,gru,919.1061310076497,0.9823137084393504
고가 시가 MA5 foreign_보유수량 종가,gru,919.1191226078734,0.982313208443005
고가 시가 MA5 WMA PER foreign_보유수량 MA20 종가,gru,919.1715415172662,0.9823111909705384
시가 foreign_보유수량 종가,gru,919.2030791945368,0.9823099771089342
MA5 PER MA20 종가,gru,919.2367166444104,0.9823086823827538
MA5 foreign_보유수량 MA20 종가,gru,919.3370973194357,0.9823048183870392
MA5 PER foreign_보유수량 MA20 종가,lstmgru,919.360403358654,0.9823039211974768
고가 시가 WMA foreign_보유수량 종가,lstmgru,919.4442734453872,0.982300692345426
시가 WMA PER foreign_보유수량 종가,gru,919.4650406220215,0.9822998927998524
저가 고가 MA5 foreign_보유수량 종가,gru,919.5186389241784,0.9822978291578366
저가 고가 WMA foreign_보유수량 종가,gru,919.5378575599368,0.9822970891725562
고가 MA5 WMA PER MA20 종가,gru,919.5704145471273,0.982295835578396
foreign_보유수량 종가,lstm,919.6005523355656,0.982294675094986
foreign_보유수량 종가,lstmgru,919.620180363916,0.9822939192791548
고가 시가 WMA PER 종가,gru,919.6284477775964,0.982293600921304
MA5 WMA PER foreign_보유수량 MA20 종가,gru,919.6524608600092,0.9822926762200892
고가 시가 MA5 PER foreign_보유수량 MA20 종가,gru,919.7553857940388,0.9822887124898858
고가 MA5 종가,lstmgru,919.7649420434668,0.9822883444477672
MA5 PER MA20 종가,lstm,919.791947623252,0.982287304354745
시가 MA5 PER foreign_보유수량 MA20 종가,gru,919.8356581770124,0.9822856208215636
고가 WMA PER 종가,lstmgru,919.9024522103614,0.9822830480624348
고가 시가 PER foreign_보유수량 종가,lstmgru,919.9146120611712,0.9822825796716492
고가 foreign_보유수량 MA20 종가,lstmgru,919.94091744378,0.98228156638155
고가 MA5 PER 종가,lstm,919.9764172005732,0.9822801988758578
고가 MA5 WMA foreign_보유수량 종가,lstmgru,919.9999673478064,0.9822792916585448
시가 MA5 WMA PER foreign_보유수량 종가,gru,920.2630054239198,0.98226915712041
저가 고가 시가 PER foreign_보유수량 종가,gru,920.300965655446,0.982267694319496
시가 foreign_보유수량 종가,lstm,920.3610775364352,0.9822653777793636
고가 시가 WMA PER foreign_보유수량 종가,lstm,920.3915485888324,0.9822642034542824
고가 시가 WMA MA20 종가,gru,920.4214902081214,0.9822630494951734
고가 시가 MA5 PER MA20 종가,gru,920.4710485868758,0.9822611394177038
저가 고가 시가 foreign_보유수량 종가,gru,920.609023283013,0.9822558210595904
MA5 foreign_보유수량 MA20 종가,lstmgru,920.6664734440797,0.9822536063566708
저가 고가 WMA MA20 종가,gru,920.7153478245506,0.9822517221411774
저가 고가 시가 MA5 foreign_보유수량 종가,lstm,920.7397805038532,0.982250780169838
고가 WMA PER foreign_보유수량 종가,lstmgru,920.7848687970184,0.9822490417815574
고가 PER foreign_보유수량 종가,lstmgru,920.7895087905258,0.9822488628808363
MA5 foreign_보유수량 종가,lstm,920.8137419001272,0.9822479285285056
