data,algorithm,rmse,r2
MA5 PER 종가,gru,926.1783374546811,0.9820404813786976
PER foreign_보유수량 RSI 종가,gru,926.5843498092086,0.9820247319610943
WMA foreign_보유수량 종가,lstmgru,927.9058838494043,0.9819734212115763
MA20 종가,gru,930.7147350294705,0.9818641200104652
MA20 종가,lstmgru,931.1470975089388,0.9818472660914889
MA5 PER MA20 종가,gru,931.261567389272,0.9818428026312925
WMA MA5 foreign_보유수량 MA20 종가,gru,932.3042718444465,0.9818021197761894
foreign_보유수량 종가,gru,932.9620407405629,0.9817764324066327
WMA MA20 종가,gru,937.1614065985876,0.9816120105900035
WMA PER foreign_보유수량 MA20 종가,gru,937.186735841558,0.9816110166093672
WMA MA5 MA20 종가,gru,937.4033196500774,0.9816025162409506
WMA MA5 foreign_보유수량 MA20 종가,lstmgru,938.8915705899927,0.9815440530231373
MA5 종가,gru,939.5611492455777,0.9815177195996518
MA5 RSI 종가,gru,939.9088099918994,0.981504039271956
MA5 PER foreign_보유수량 MA20 종가,lstmgru,940.4314329756373,0.9814834647193689
WMA PER foreign_보유수량 종가,lstmgru,942.823400117273,0.9813891521114628
MA5 MA20 종가,gru,944.1633384239037,0.9813362151383691
WMA foreign_보유수량 종가,gru,945.2813406904863,0.9812919886641163
WMA PER foreign_보유수량 종가,gru,948.4621123604865,0.9811658758859574
PER foreign_보유수량 MOM MA20 종가,gru,949.2082319463875,0.9811362320319911
WMA MA5 종가,lstmgru,950.3204906221503,0.981091997939598
MA5 PER foreign_보유수량 종가,gru,950.7408494482212,0.9810752669451716
WMA RSI MA20 종가,gru,951.0988040067599,0.9810610139135186
PER MOM 종가,gru,951.9500355270691,0.9810270980339284
WMA MA5 PER foreign_보유수량 MA20 종가,lstmgru,952.9192591272453,0.9809884440185009
WMA MA5 foreign_보유수량 종가,gru,953.6072047044088,0.9809609839020442
MA5 MOM 종가,gru,954.6334085202741,0.980919985001188
PER RSI MA20 종가,gru,954.7202330367185,0.9809165141643281
WMA MA5 MOM MA20 종가,gru,955.0582404850965,0.9809029992057732
WMA RSI 종가,gru,956.5147503204985,0.9808447070977365
foreign_보유수량 MOM 종가,gru,956.6284011699253,0.9808401548529487
MA5 PER foreign_보유수량 RSI MA20 종가,gru,959.9052165005663,0.9807086705639508
