n_estimators,max_depth,num_leaves,learning_rate,RMSE,R2
300,10,10,0.05,1008.6739977900241,0.9783980889343206
300,20,10,0.05,1008.6739977900241,0.9783980889343206
300,-1,10,0.05,1008.6739977900241,0.9783980889343206
200,10,10,0.05,1010.4716578666942,0.9783210224149033
200,-1,10,0.05,1010.4716578666942,0.9783210224149033
200,20,10,0.05,1010.4716578666942,0.9783210224149033
500,10,10,0.05,1010.8940030876231,0.9783028963725381
500,20,10,0.05,1010.8940030876231,0.9783028963725381
500,-1,10,0.05,1010.8940030876231,0.9783028963725381
100,10,10,0.05,1013.9124903058253,0.9781731296341863
100,-1,10,0.05,1013.9124903058253,0.9781731296341863
100,20,10,0.05,1013.9124903058253,0.9781731296341863
500,-1,10,0.03,1016.6961735133234,0.9780531143474037
500,20,10,0.03,1016.6961735133234,0.9780531143474037
500,10,10,0.03,1016.6961735133234,0.9780531143474037
300,20,10,0.03,1016.9854241140621,0.9780406247697879
300,10,10,0.03,1016.9854241140621,0.9780406247697879
300,-1,10,0.03,1016.9854241140621,0.9780406247697879
200,10,10,0.03,1020.2655641579375,0.9778987427226389
200,20,10,0.03,1020.2655641579375,0.9778987427226389
200,-1,10,0.03,1020.2655641579375,0.9778987427226389
200,-1,10,0.1,1020.2695770993928,0.9778985688635397
200,10,10,0.1,1020.2695770993928,0.9778985688635397
200,20,10,0.1,1020.2695770993928,0.9778985688635397
500,-1,10,0.01,1020.5028336410343,0.9778884619411792
500,20,10,0.01,1020.5028336410343,0.9778884619411792
500,10,10,0.01,1020.5028336410343,0.9778884619411792
100,-1,10,0.1,1022.8289615644637,0.9777875452481782
100,20,10,0.1,1022.8289615644637,0.9777875452481782
100,10,10,0.1,1022.8289615644637,0.9777875452481782
300,-1,10,0.1,1028.3024973908498,0.9775491750357571
300,10,10,0.1,1028.3024973908498,0.9775491750357571
300,20,10,0.1,1028.3024973908498,0.9775491750357571
500,10,10,0.1,1044.3460493467567,0.976843155506751
500,20,10,0.1,1044.3460493467567,0.976843155506751
500,-1,10,0.1,1044.3460493467567,0.976843155506751
100,20,20,0.05,1048.756201704513,0.9766471652143124
100,-1,20,0.05,1048.756201704513,0.9766471652143124
500,10,20,0.01,1049.6418105281318,0.9766077085539104
100,10,20,0.05,1050.665462297626,0.9765620601496361
500,-1,20,0.01,1050.7678774167446,0.976557490633498
500,20,20,0.01,1050.7678774167446,0.976557490633498
200,-1,20,0.03,1051.6006055710398,0.9765203197735642
200,20,20,0.03,1051.6006055710398,0.9765203197735642
200,10,20,0.03,1052.876677133425,0.9764633020603505
300,-1,20,0.03,1054.906284767879,0.9763724722305751
300,20,20,0.03,1054.906284767879,0.9763724722305751
300,10,20,0.03,1055.5607808798666,0.9763431446542921
200,10,20,0.05,1059.82715898174,0.9761515250722944
500,10,20,0.03,1061.4514910740415,0.9760783668626613
200,20,20,0.05,1063.4856099757437,0.9759865942834264
200,-1,20,0.05,1063.4856099757437,0.9759865942834264
300,10,20,0.05,1068.2072643914119,0.9757728919060362
500,-1,20,0.03,1073.2371769915746,0.9755441963250263
500,20,20,0.03,1073.2371769915746,0.9755441963250263
500,10,31,0.01,1073.6389495608933,0.9755258825535014
500,-1,31,0.01,1073.6606787955227,0.9755248918867189
500,20,31,0.01,1073.6606787955227,0.9755248918867189
300,-1,20,0.05,1076.437039683979,0.9753981486951958
300,20,20,0.05,1076.437039683979,0.9753981486951958
100,10,20,0.1,1078.1897675439266,0.9753179666606914
100,-1,31,0.05,1081.122967887005,0.9751834897275324
100,20,31,0.05,1081.122967887005,0.9751834897275324
