data,model,rmse,r2
저가 고가 시가 MA5 WMA 종가,KNN,1202.5175657801508,0.9692975253865095
저가 고가 시가 MA5 WMA 종가,RF,1321.0723251956485,0.9629452649502843
저가 고가 시가 MA5 WMA 종가,LGBM,1649.6370290051595,0.9422213598954854
저가 고가 시가 MA5 PER 종가,RF,1234.0534957556608,0.9676660698301913
저가 고가 시가 MA5 PER 종가,LGBM,1500.9858828673237,0.9521652247182081
저가 고가 시가 MA5 PER 종가,KNN,2035.2662973592296,0.9120505749079441
저가 고가 시가 MA5 foreign_보유수량 종가,KNN,1233.3313921641168,0.9677038990102703
저가 고가 시가 MA5 foreign_보유수량 종가,RF,1325.8335249614265,0.9626776900204476
저가 고가 시가 MA5 foreign_보유수량 종가,LGBM,1357.3679728193674,0.9608811824908196
저가 고가 시가 MA5 MA20 종가,KNN,1476.860730797137,0.9536905515370304
저가 고가 시가 MA5 MA20 종가,RF,1518.044034475876,0.9510717974265861
저가 고가 시가 MA5 MA20 종가,LGBM,2212.7870461727402,0.8960391639094973
저가 고가 시가 WMA PER 종가,RF,1231.7113975484897,0.9677886858711415
저가 고가 시가 WMA PER 종가,LGBM,1532.7407851958922,0.9501198270647597
저가 고가 시가 WMA PER 종가,KNN,2033.3091807882306,0.912219638306179
저가 고가 시가 WMA foreign_보유수량 종가,KNN,1247.596978100991,0.9669524589180815
저가 고가 시가 WMA foreign_보유수량 종가,RF,1308.8955014445169,0.9636252118196509
저가 고가 시가 WMA foreign_보유수량 종가,LGBM,1542.4264622767523,0.9494874308686527
저가 고가 시가 WMA MA20 종가,RF,1502.7996203403454,0.9520495512210729
저가 고가 시가 WMA MA20 종가,KNN,1505.6195125714764,0.9518694314543128
저가 고가 시가 WMA MA20 종가,LGBM,1608.981504548209,0.9450341907283063
저가 고가 시가 PER foreign_보유수량 종가,RF,1173.7043591347685,0.9707512063911181
저가 고가 시가 PER foreign_보유수량 종가,LGBM,1281.4558800494906,0.9651343441314135
저가 고가 시가 PER foreign_보유수량 종가,KNN,2174.416350216397,0.8996133566511614
저가 고가 시가 PER MA20 종가,RF,1402.1176338367825,0.9582593290834539
저가 고가 시가 PER MA20 종가,LGBM,1764.6110030277187,0.9338867527620616
저가 고가 시가 PER MA20 종가,KNN,2181.2398761200416,0.8989823223558838
저가 고가 시가 foreign_보유수량 MA20 종가,RF,1472.7039044068886,0.9539508732101907
저가 고가 시가 foreign_보유수량 MA20 종가,KNN,1518.9339093569777,0.9510144173519772
저가 고가 시가 foreign_보유수량 MA20 종가,LGBM,2126.2909013999247,0.9040078134241776
