³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,°Å·¡´ë±Ý,µî¶ô·ü,BPS,PER,PBR,EPS,DIV,DPS,buy_±â°üÇÕ°è,buy_±âÅ¸¹ýÀÎ,buy_°³ÀÎ,buy_¿Ü±¹ÀÎÇÕ°è,sell_±â°üÇÕ°è,sell_±âÅ¸¹ýÀÎ,sell_°³ÀÎ,sell_¿Ü±¹ÀÎÇÕ°è,sell_ÀüÃ¼,foreign_»óÀåÁÖ½Ä¼ö,foreign_º¸À¯¼ö·®,foreign_ÁöºÐÀ²,foreign_ÇÑµµ¼ö·®,foreign_ÇÑµµ¼ÒÁø·ü,short_°Å·¡·®,short_¸Å¼ö,short_ºñÁß,¾÷Á¾,Á¾¸ñ
2018-04-02,49000,49220,48500,48540,142313,3.46E+11,-1.38,1156530,15.36,2.1,157967,1.17,28500,-34014927000,-263820000,1.27E+11,-92763688000,1.39E+11,2040218000,54598080000,1.51E+11,3.46E+11,128386494,67082604,52.25,128386494,52.25,1832,142313,1.29,IT,»ï¼ºÀüÀÚ
2018-04-03,47880,48140,47280,48120,255365,6.09E+11,-0.87,1156530,15.23,2.08,157967,1.18,28500,-50571560000,3653296000,1.51E+11,-1.05E+11,2.18E+11,1046334000,1.38E+11,2.52E+11,6.09E+11,128386494,67057529,52.22,128386494,52.22,5245,255365,2.05,IT,»ï¼ºÀüÀÚ
2018-04-04,48160,48260,46920,46920,247684,5.87E+11,-2.49,1156530,14.85,2.03,157967,1.21,28500,-1.21E+11,8400324000,2.43E+11,-1.31E+11,2.74E+11,1223977000,1.08E+11,2.03E+11,5.87E+11,128386494,67039067,52.22,128386494,52.22,8326,247684,3.36,IT,»ï¼ºÀüÀÚ
2018-04-05,47400,49380,47340,48740,264912,6.43E+11,3.88,1156530,15.43,2.11,157967,1.17,28500,1.46E+11,-46689000,-1.31E+11,-14763420000,1.59E+11,3887156000,2.92E+11,1.87E+11,6.43E+11,128386494,66998399,52.2,128386494,52.2,9181,264912,3.47,IT,»ï¼ºÀüÀÚ
2018-04-06,48000,48580,47400,48400,250654,6.03E+11,-0.7,1156530,15.32,2.09,157967,1.18,28500,18617856000,2093462000,92187674000,-1.13E+11,2.12E+11,1882012000,1.07E+11,2.82E+11,6.03E+11,128386494,66974053,52.16,128386494,52.16,9413,250654,3.76,IT,»ï¼ºÀüÀÚ
2018-04-09,48260,49440,48200,49200,199008,4.88E+11,1.65,1156530,15.57,2.13,157967,1.16,28500,83924081920,2190914000,-52164300000,-33950695920,1.21E+11,2056345000,1.44E+11,2.21E+11,4.88E+11,128386494,66966379,52.16,128386494,52.16,13476,199008,6.77,IT,»ï¼ºÀüÀÚ
2018-04-10,48540,49220,48040,48880,219687,5.35E+11,-0.65,1156530,15.47,2.11,157967,1.17,28500,3749941088,-1408000,48041900000,-51790433088,1.74E+11,2121523000,93314260000,2.65E+11,5.35E+11,128386494,66948230,52.16,128386494,52.16,10705,219687,4.87,IT,»ï¼ºÀüÀÚ
2018-04-11,49900,49900,48600,48860,201022,4.95E+11,-0.04,1156530,15.47,2.11,157967,1.17,28500,-49794111000,-2825701000,19357113000,33262699000,2.29E+11,5174325000,1.09E+11,1.52E+11,4.95E+11,128386494,66927070,52.12,128386494,52.12,9254,201022,4.6,IT,»ï¼ºÀüÀÚ
2018-04-12,49440,49440,48880,49000,249325,6.12E+11,0.29,1156530,15.51,2.12,157967,1.16,28500,-97405355000,6523346000,13860875000,77021134000,3.08E+11,1243141000,1.18E+11,1.85E+11,6.12E+11,128386494,66940640,52.12,128386494,52.12,9654,249325,3.87,IT,»ï¼ºÀüÀÚ
2018-04-13,49600,50180,49400,49800,205566,5.13E+11,1.63,1156530,15.76,2.15,157967,1.14,28500,-7671713349,1743102000,-1.05E+11,1.11E+11,1.90E+11,2436366000,2.28E+11,92612755000,5.13E+11,128386494,66973422,52.16,128386494,52.16,15900,205566,7.73,IT,»ï¼ºÀüÀÚ
2018-04-16,50320,50600,49860,50340,157549,3.96E+11,1.08,1156530,15.93,2.18,157967,1.13,28500,36117622380,1296366000,-69332342000,31918353620,98140273620,1286884000,1.61E+11,1.36E+11,3.96E+11,128386494,67023732,52.2,128386494,52.2,8107,157549,5.15,IT,»ï¼ºÀüÀÚ
2018-04-17,50240,50540,49820,49980,155440,3.89E+11,-0.72,1156530,15.82,2.16,157967,1.14,28500,9471562000,1203767000,57410047000,-68085376000,1.34E+11,473094000,57984746000,1.97E+11,3.89E+11,128386494,67037385,52.22,128386494,52.22,6711,155440,4.32,IT,»ï¼ºÀüÀÚ
2018-04-18,51000,51360,50580,51360,269252,6.89E+11,2.76,1156530,16.26,2.22,157967,1.11,28500,27202471000,696512000,-2.01E+11,1.73E+11,1.94E+11,12754668000,3.31E+11,1.51E+11,6.89E+11,128386494,67011816,52.2,128386494,52.2,11529,269252,4.28,IT,»ï¼ºÀüÀÚ
2018-04-19,52000,52980,51540,52780,343811,9.02E+11,2.76,1156530,16.71,2.28,157967,1.08,28500,-34473276000,9141888000,-1.78E+11,2.03E+11,2.56E+11,4919902000,4.33E+11,2.08E+11,9.02E+11,128386494,67087166,52.25,128386494,52.25,18944,343811,5.51,IT,»ï¼ºÀüÀÚ
2018-04-20,51800,52260,51420,51620,235220,6.09E+11,-2.2,1156530,16.34,2.23,157967,1.1,28500,67409771000,11462329000,1.13E+11,-1.91E+11,1.28E+11,1332372000,1.34E+11,3.46E+11,6.09E+11,128386494,67171116,52.3,128386494,52.3,12634,235220,5.37,IT,»ï¼ºÀüÀÚ
2018-04-23,51000,52080,51000,51900,232380,6.01E+11,0.54,1156530,16.43,2.24,157967,1.1,28500,36225300000,11957462000,51559649000,-99742411000,1.43E+11,1609641000,1.04E+11,3.52E+11,6.01E+11,128386494,67104080,52.28,128386494,52.28,8164,232380,3.51,IT,»ï¼ºÀüÀÚ
2018-04-24,51840,51860,50080,50460,315406,8.00E+11,-2.77,1156530,15.97,2.18,157967,1.13,28500,-6977142000,22138019000,2.41E+11,-2.56E+11,2.42E+11,2262530000,1.32E+11,4.24E+11,8.00E+11,128386494,67065577,52.25,128386494,52.25,11459,315406,3.63,IT,»ï¼ºÀüÀÚ
2018-04-25,49220,50500,49220,50400,332292,8.27E+11,-0.12,1156530,15.95,2.18,157967,1.13,28500,28561475000,6230503000,3.84E+11,-4.19E+11,1.64E+11,280968000,1.16E+11,5.46E+11,8.27E+11,128386494,66975650,52.16,128386494,52.16,8890,332292,2.68,IT,»ï¼ºÀüÀÚ
2018-04-26,50420,52160,50400,52140,360931,9.32E+11,3.45,1156530,16.5,2.25,157967,1.09,28500,-55482429000,6700118000,62695722000,-13913411000,2.93E+11,5212579000,2.70E+11,3.64E+11,9.32E+11,128386494,66852354,52.06,128386494,52.06,20074,360931,5.56,IT,»ï¼ºÀüÀÚ
2018-04-27,53380,53640,52440,53000,606216,1.61E+12,1.65,1156530,16.78,2.29,157967,1.08,28500,-1.97E+11,22406192000,2.93E+11,-1.18E+11,4.08E+11,7056879000,5.33E+11,6.63E+11,1.61E+12,128386494,66883763,52.1,128386494,52.1,8959,606216,1.48,IT,»ï¼ºÀüÀÚ
2018-05-04,53000,53900,51800,51900,39565391,2.08E+12,-2.08,28126,8.65,1.85,5997,1.64,850,-5.92E+11,-11149318700,6.55E+11,-52721756700,7.19E+11,18715358400,8.41E+11,4.99E+11,2.08E+12,6419324700,3389738000,52.8,6419324700,52.8,1964027,39565391,4.96,IT,»ï¼ºÀüÀÚ
2018-05-08,52600,53200,51900,52600,23104720,1.22E+12,1.35,28126,8.77,1.87,5997,1.62,850,-55407203100,3123733900,-50801179600,1.03E+11,2.08E+11,4141076500,4.48E+11,5.58E+11,1.22E+12,6419324700,3388514370,52.78,6419324700,52.78,899575,23104720,3.89,IT,»ï¼ºÀüÀÚ
2018-05-09,52600,52800,50900,50900,16128305,8.31E+11,-3.23,28126,8.49,1.81,5997,1.67,850,-61438287200,742475500,1.70E+11,-1.09E+11,2.62E+11,1655582300,2.73E+11,2.95E+11,8.31E+11,6419324700,3389966037,52.8,6419324700,52.8,1859132,16128305,11.53,IT,»ï¼ºÀüÀÚ
