종가,WMA,MA5,PER,foreign_보유수량,RSI,MOM,MA20
53000,51648.72727,51580,16.78,66883763,65.9688302,3200,50022
51900,51740,51580,8.65,3389738000,59.70391128,1560,50190
52600,51930.18182,52008,8.77,3388514370,62.16624098,2620,50414
50900,51763.63636,52108,8.49,3389966037,53.60011264,-460,50613
51600,51732.72727,52000,8.6,3388367976,56.27203038,-1180,50756
51300,51668.72727,51660,8.55,3387354337,54.81518017,-320,50901
50100,51392.36364,51300,8.35,3387567715,49.31535192,-1800,50946
49200,50985.09091,50620,8.2,3385266256,45.618475,-1260,50962
49850,50718.90909,50410,8.31,3384136530,48.61452307,-550,51011.5
49400,50380.90909,49970,8.24,3385554977,46.6964502,-2740,51031.5
49500,50110.90909,49610,8.25,3383277622,47.19504292,-3500,51016.5
50000,49995.45455,49590,8.34,3382559228,49.72712742,-1900,50999.5
51800,50241.81818,50110,8.64,3382369713,57.60800435,-800,51090.5
51400,50430,50420,8.57,3383011852,55.52494728,500,51092.5
52700,50845.45455,51080,8.79,3382263326,60.52126054,1100,51088.5
52300,51168.18182,51640,8.72,3386553527,58.3492121,1000,51122.5
51300,51290.90909,51900,8.55,3386831634,53.20802539,1200,51092.5
49500,51064.54545,51440,8.25,3386404063,45.44590576,300,51044.5
50700,51050.90909,51300,8.45,3381473413,50.61798771,850,51059.5
51300,51130.90909,51020,8.55,3404215078,53.01647979,1900,51017.5
51100,51140,50780,8.52,3405723291,52.10795462,1600,50922.5
51300,51156.36364,50780,8.55,3406765955,52.97578002,1300,50892.5
50600,51021.81818,51000,8.44,3407892397,49.58885357,-1200,50792.5
49650,50736.36364,50790,8.28,3406783024,45.35118226,-1750,50730
49900,50528.18182,50510,8.32,3404740720,46.64339051,-2800,50645
49400,50280,50170,8.24,3402677344,44.38300199,-2900,50550
48200,49866.36364,49550,8.04,3401284162,39.44267932,-3100,50455
47650,49409.09091,48960,7.95,3395277427,37.38848001,-1850,50377.5
46600,48794.54545,48350,7.77,3389440966,33.77231459,-4100,50215
47000,48327.27273,47770,7.84,3386155189,36.29990072,-4300,50095
47000,47938.18182,47290,7.84,3385161324,36.29990072,-4100,49970
47050,47632.72727,47060,7.85,3382945254,36.65040202,-4250,49822.5
47250,47440.90909,46980,7.88,3383045834,38.1171797,-3350,49595
46650,47200.90909,46990,7.78,3382142120,35.46429884,-3000,49357.5
47000,47079.09091,46990,7.84,3380312410,38.1677201,-2900,49072.5
47950,47182.72727,47180,8,3379910348,44.91304264,-1450,48855
46800,47103.63636,47130,7.8,3382188811,39.32099482,-1400,48630
46650,47022.72727,47010,7.78,3378102918,38.64511252,-1000,48487.5
45550,46760,46790,7.6,3377537395,34.02614004,-1050,48230
