종가,저가,고가,시가,MA5,WMA,PER,foreign_보유수량,MA20
53000,52440,53640,53380,51580.0,51648.72727272727,16.78,66883763,50022.0
51900,51800,53900,53000,51580.0,51740.0,8.65,3389738000,50190.0
52600,51900,53200,52600,52008.0,51930.181818181816,8.77,3388514370,50414.0
50900,50900,52800,52600,52108.0,51763.63636363636,8.49,3389966037,50613.0
51600,50600,51700,51700,52000.0,51732.72727272727,8.6,3388367976,50756.0
51300,51200,52200,52000,51660.0,51668.72727272727,8.55,3387354337,50901.0
50100,49900,51100,51000,51300.0,51392.36363636364,8.35,3387567715,50946.0
49200,49100,50400,50200,50620.0,50985.09090909091,8.2,3385266256,50962.0
49850,49150,50200,49200,50410.0,50718.90909090909,8.31,3384136530,51011.5
49400,49400,50500,50300,49970.0,50380.90909090909,8.24,3385554977,51031.5
49500,49350,49900,49900,49610.0,50110.90909090909,8.25,3383277622,51016.5
50000,49100,50200,49650,49590.0,49995.454545454544,8.34,3382559228,50999.5
51800,50400,52000,50600,50110.0,50241.81818181818,8.64,3382369713,51090.5
51400,51100,52000,52000,50420.0,50430.0,8.57,3383011852,51092.5
52700,50800,52800,51000,51080.0,50845.454545454544,8.79,3382263326,51088.5
52300,52000,53000,52500,51640.0,51168.181818181816,8.72,3386553527,51122.5
51300,51300,52500,52200,51900.0,51290.90909090909,8.55,3386831634,51092.5
49500,49100,51500,51300,51440.0,51064.545454545456,8.25,3386404063,51044.5
50700,49850,50800,50400,51300.0,51050.90909090909,8.45,3381473413,51059.5
51300,49950,51700,50500,51020.0,51130.90909090909,8.55,3404215078,51017.5
51100,50700,51200,50800,50780.0,51140.0,8.52,3405723291,50922.5
51300,50400,51400,51100,50780.0,51156.36363636364,8.55,3406765955,50892.5
50600,50500,51800,51800,51000.0,51021.81818181818,8.44,3407892397,50792.5
49650,49600,50400,50200,50790.0,50736.36363636364,8.28,3406783024,50730.0
49900,49350,50300,49750,50510.0,50528.181818181816,8.32,3404740720,50645.0
49400,49250,49800,49700,50170.0,50280.0,8.24,3402677344,50550.0
48200,48200,49000,49000,49550.0,49866.36363636364,8.04,3401284162,50455.0
47650,47650,48700,48500,48960.0,49409.09090909091,7.95,3395277427,50377.5
