,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,BPS,PER,PBR,EPS,DIV,DPS,buy_기관합계,buy_기타법인,buy_개인,buy_외국인합계,buy_전체,sell_기관합계,sell_기타법인,sell_개인,sell_외국인합계,sell_전체,foreign_상장주식수,foreign_보유수량,foreign_지분율,foreign_한도수량,foreign_한도소진률,short_거래량,short_매수,short_비중
0,2013-04-01,30700,30700,30240,30240,105910,160876738000,-0.98,573668,16.97,2.64,89073,0.36,5500,53082938000.0,190985000.0,3484414000.0,-56758337000.0,0.0,21076855000.0,1973534000.0,43693481000.0,94132868000.0,160876738000.0,147299337,73041320,49.6,147299337,49.6,7652,105910,7.23
1,2013-04-02,30200,30640,30200,30500,171497,261297717000,0.86,573668,17.12,2.66,89073,0.36,5500,4564254000.0,-318020000.0,-53723288000.0,49477054000.0,0.0,56653911000.0,2071802000.0,100950490000.0,101621514000.0,261297717000.0,147299337,73012085,49.56,147299337,49.56,31217,171497,18.2
2,2013-04-03,30520,30560,30180,30420,217654,330474145532,-0.26,573668,17.08,2.65,89073,0.36,5500,81931895000.0,2825794000.0,-6039034000.0,-78718655000.0,0.0,17666277000.0,1610589000.0,57138991000.0,254058288532.0,330474145532.0,147299337,73044689,49.6,147299337,49.6,18130,217654,8.33
3,2013-04-04,30340,30380,29980,30120,214009,322643577000,-0.99,573668,16.91,2.63,89073,0.37,5500,100281144000.0,-56010000.0,-8362518000.0,-91862616000.0,0.0,42503760000.0,2479252000.0,75838235000.0,201822330000.0,322643577000.0,147299337,72992797,49.56,147299337,49.56,14794,214009,6.91
4,2013-04-05,30100,30320,29860,30100,299547,450337860000,-0.07,573668,16.9,2.62,89073,0.37,5500,113819415000.0,2159533000.0,3466359000.0,-119445307000.0,0.0,71094936000.0,1585132000.0,86732513000.0,290925279000.0,450337860000.0,147299337,72931740,49.5,147299337,49.5,15628,299547,5.22
5,2013-04-08,30100,30620,29940,30400,259190,394414104585,1.0,573668,17.06,2.65,89073,0.36,5500,93287221000.0,2182019000.0,-72021418000.0,-23447822000.0,0.0,23028504000.0,2012866000.0,127889029000.0,241483705585.0,394414104585.0,147299337,72843548,49.44,147299337,49.44,18807,259190,7.26
6,2013-04-09,30540,30600,30200,30560,184880,281709048698,0.53,573668,17.15,2.66,89073,0.36,5500,44433484000.0,-431089000.0,-39855129000.0,-4147266000.0,0.0,68047984000.0,3266872000.0,79531889000.0,130862303698.0,281709048698.0,147299337,72804874,49.44,147299337,49.44,20146,184880,10.9
7,2013-04-10,30800,30800,30260,30420,235594,359029743537,-0.46,573668,17.08,2.65,89073,0.36,5500,-17348371000.0,3840631000.0,19245162000.0,-5737422000.0,0.0,86047731000.0,2025733000.0,45454335000.0,225501944537.0,359029743537.0,147299337,72793030,49.4,147299337,49.4,16549,235594,7.02
8,2013-04-11,30420,30800,30360,30800,225830,345358877744,1.25,573668,17.29,2.68,89073,0.36,5500,49102356000.0,-3646345000.0,-72905308000.0,27449297000.0,0.0,35743563000.0,4945939000.0,109058854000.0,195610521744.0,345358877744.0,147299337,72809108,49.44,147299337,49.44,21706,225830,9.61
9,2013-04-12,30800,31000,30260,30340,214881,329125592799,-1.49,573668,17.03,2.64,89073,0.36,5500,52863480000.0,2574612000.0,4317422000.0,-59755514000.0,0.0,24901583000.0,715900000.0,61783424000.0,241724685799.0,329125592799.0,147299337,72826431,49.44,147299337,49.44,24398,214881,11.35
10,2013-04-15,30060,30700,30060,30460,215346,327131213870,0.4,573668,17.1,2.65,89073,0.36,5500,18599127000.0,-3442279000.0,-24970529000.0,9813681000.0,0.0,39892758000.0,4325996000.0,63870797000.0,219041662870.0,327131213870.0,147299337,72787118,49.4,147299337,49.4,2519,215346,1.17
11,2013-04-16,30100,30640,30020,30560,371037,564367757700,0.33,573668,17.15,2.66,89073,0.36,5500,25100681000.0,-526969000.0,-18486548000.0,-6087164000.0,0.0,79674698000.0,2524588000.0,80225279000.0,401943192700.0,564367757700.0,147299337,72788609,49.4,147299337,49.4,8645,371037,2.33
12,2013-04-17,31320,31320,30280,30360,209822,321606302000,-0.65,573668,17.04,2.65,89073,0.36,5500,11852573000.0,-179502000.0,14294315000.0,-25967386000.0,0.0,67735824000.0,1164969000.0,65085616000.0,187619893000.0,321606302000.0,147299337,72766791,49.4,147299337,49.4,26735,209822,12.74
13,2013-04-18,30400,30440,29620,29660,267168,401086550544,-2.31,573668,16.65,2.59,89073,0.37,5500,-2264422000.0,4149621000.0,139187629000.0,-141072828000.0,0.0,81835416000.0,1788011000.0,47028029000.0,270435094544.0,401086550544.0,147299337,72733525,49.38,147299337,49.38,20052,267168,7.51
14,2013-04-19,29300,29840,29100,29500,314080,463491377128,-0.54,573668,16.56,2.57,89073,0.37,5500,-8180897000.0,1773863000.0,113574209000.0,-107167175000.0,0.0,126229903000.0,2240359000.0,58808342000.0,276212773128.0,463491377128.0,147299337,72639087,49.3,147299337,49.3,15378,314080,4.9
15,2013-04-22,29800,30060,29300,30060,186717,277619025000,1.9,573668,16.87,2.62,89073,0.37,5500,155399000.0,4202824000.0,4939556000.0,-9297779000.0,0.0,66823122000.0,1074570000.0,67889657000.0,141831676000.0,277619025000.0,147299337,72565759,49.25,147299337,49.25,15355,186717,8.22
16,2013-04-23,30000,30060,29480,29660,177297,262984152040,-1.33,573668,16.65,2.59,89073,0.37,5500,23128006000.0,16813455000.0,30809010000.0,-70750471000.0,0.0,70222345000.0,612889000.0,57179011000.0,134969907040.0,262984152040.0,147299337,72577222,49.28,147299337,49.28,15930,177297,8.98
17,2013-04-24,29700,29880,29480,29720,201731,299245890000,0.2,573668,16.68,2.59,89073,0.37,5500,38870365000.0,11693105000.0,32694351000.0,-83257821000.0,0.0,54539906000.0,1407874000.0,60930658000.0,182367452000.0,299245890000.0,147299337,72527660,49.25,147299337,49.25,15592,201731,7.73
18,2013-04-25,29400,29880,29400,29880,209278,310011379000,0.54,573668,16.77,2.6,89073,0.37,5500,48253423000.0,5515810000.0,29734254000.0,-83503487000.0,0.0,57456776000.0,969146000.0,58717163000.0,192868294000.0,310011379000.0,147299337,72524741,49.25,147299337,49.25,13459,209278,6.43
19,2013-04-26,29900,29940,29440,29720,233032,345864476000,-0.54,573668,16.68,2.59,89073,0.37,5500,39984101000.0,2334503000.0,41093945000.0,-83412549000.0,0.0,58126061000.0,1488252000.0,54748477000.0,231501686000.0,345864476000.0,147299337,72467458,49.2,147299337,49.2,21890,233032,9.39
20,2013-04-29,29820,29840,29500,29620,170003,251867266000,-0.34,573668,16.63,2.58,89073,0.37,5500,42932356000.0,1510147000.0,6895310000.0,-51337813000.0,0.0,50785727000.0,371113000.0,38314600000.0,162395826000.0,251867266000.0,147299337,72411111,49.16,147299337,49.16,21004,170003,12.36
21,2013-04-30,29800,30600,29760,30400,374100,567495672110,2.63,688251,9.87,2.21,154020,0.53,8000,136293730000.0,-2764033000.0,-188684862000.0,55155165000.0,0.0,68093135000.0,6934630000.0,280338547000.0,212129360110.0,567495672110.0,147299337,72376308,49.12,147299337,49.12,20061,374100,5.36
22,2013-05-02,30520,30640,30340,30560,200979,306657742488,0.53,688251,9.92,2.22,154020,0.52,8000,12230025000.0,-76925000.0,-56769801000.0,44616701000.0,0.0,66105492000.0,1274258000.0,88108994000.0,151168998488.0,306657742488.0,147299337,72423779,49.16,147299337,49.16,6066,200979,3.02
23,2013-05-03,30700,30740,30420,30700,131181,200861313000,0.46,688251,9.97,2.23,154020,0.52,8000,4801153000.0,1460762000.0,-58870653000.0,52608738000.0,0.0,42785533000.0,674936000.0,93023222000.0,64377622000.0,200861313000.0,147299337,72440913,49.2,147299337,49.2,10211,131181,7.78
24,2013-05-06,30800,30800,30240,30280,173086,263911349000,-1.37,688251,9.83,2.2,154020,0.53,8000,-6943214000.0,-12440950000.0,24857104000.0,-5472940000.0,0.0,82329362000.0,16465707000.0,53551334000.0,111564946000.0,263911349000.0,147299337,72475579,49.2,147299337,49.2,13110,173086,7.57
25,2013-05-07,30160,30160,29820,29860,228690,342549777000,-1.39,688251,9.69,2.17,154020,0.54,8000,6343015000.0,159990000.0,76609282000.0,-83112287000.0,0.0,61177776000.0,3065068000.0,45280340000.0,233026593000.0,342549777000.0,147299337,72472047,49.2,147299337,49.2,42263,228690,18.48
26,2013-05-08,29860,29960,29580,29760,298439,443088901748,-0.33,688251,9.66,2.16,154020,0.54,8000,-2397349000.0,4458097000.0,131769968000.0,-133830716000.0,0.0,81935877000.0,2907570000.0,59603853000.0,298641601748.0,443088901748.0,147299337,72415440,49.16,147299337,49.16,27605,298439,9.25
27,2013-05-09,29800,30400,29780,30300,216123,325057674000,1.81,688251,9.84,2.2,154020,0.53,8000,-4311764000.0,-570384000.0,-65121373000.0,70003521000.0,0.0,79848897000.0,2429642000.0,113871654000.0,128907481000.0,325057674000.0,147299337,72304740,49.1,147299337,49.1,21095,216123,9.76
28,2013-05-10,30280,30280,29520,29520,235897,350384841600,-2.57,688251,9.58,2.14,154020,0.54,8000,-54053261000.0,2081309000.0,124553900000.0,-72581948000.0,0.0,94331704000.0,3004492000.0,72092896000.0,180955749600.0,350384841600.0,147299337,72351514,49.12,147299337,49.12,18459,235897,7.83
29,2013-05-13,29420,29600,29240,29540,175002,257490163529,0.07,688251,9.59,2.15,154020,0.54,8000,2325363000.0,-2133840000.0,35340694000.0,-35532217000.0,0.0,46003603000.0,2251635000.0,39142727000.0,170092198529.0,257490163529.0,147299337,72305660,49.1,147299337,49.1,14307,175002,8.18
30,2013-05-14,29740,30000,29660,30000,180053,268884428000,1.56,688251,9.74,2.18,154020,0.53,8000,653896000.0,2296160000.0,-74420784000.0,71470728000.0,0.0,45269370000.0,2634301000.0,114408806000.0,106571951000.0,268884428000.0,147299337,72279984,49.06,147299337,49.06,12679,180053,7.04
31,2013-05-15,29700,30000,29680,30000,211896,316041082276,0.0,688251,9.74,2.18,154020,0.53,8000,-35666420000.0,-1121320000.0,-2708725000.0,39496465000.0,0.0,56738363000.0,2891302000.0,43806159000.0,212605258276.0,316041082276.0,147299337,72324569,49.1,147299337,49.1,19687,211896,9.29
32,2013-05-16,30020,30280,30000,30160,293151,442065880900,0.53,688251,9.79,2.19,154020,0.53,8000,47092835000.0,-9541771000.0,-94416920000.0,56865856000.0,0.0,53193722000.0,10303682000.0,127664349000.0,250904127900.0,442065880900.0,147299337,72350828,49.12,147299337,49.12,14852,293151,5.07
33,2013-05-20,30040,30240,29920,29940,245777,369214399214,-0.73,688251,9.72,2.18,154020,0.53,8000,-11931912000.0,1036628000.0,11196923000.0,-301639000.0,0.0,67226514000.0,987018000.0,49127496000.0,251873371214.0,369214399214.0,147299337,72388905,49.12,147299337,49.12,16740,245777,6.81
34,2013-05-21,30200,30200,29700,29840,232008,346173442200,-0.33,688251,9.69,2.17,154020,0.54,8000,-20285655000.0,-783280000.0,36266131000.0,-15197196000.0,0.0,72977110000.0,2238588000.0,34026683000.0,236931061200.0,346173442200.0,147299337,72391099,49.16,147299337,49.16,26548,232008,11.44
35,2013-05-22,30080,30200,29820,30180,198462,298214450220,1.14,688251,9.8,2.19,154020,0.53,8000,27715331000.0,-7973254000.0,-50106209000.0,30364132000.0,0.0,54854509000.0,9114440000.0,92017421000.0,142228080220.0,298214450220.0,147299337,72380191,49.12,147299337,49.12,9426,198462,4.75
36,2013-05-23,29840,30040,29680,29680,239883,357819352355,-1.66,688251,9.64,2.16,154020,0.54,8000,15752169000.0,1006715000.0,70562098000.0,-87320982000.0,0.0,78198927000.0,2227480000.0,42324196000.0,235068749355.0,357819352355.0,147299337,72410446,49.16,147299337,49.16,26268,239883,10.95
37,2013-05-24,29740,29880,29440,29720,203812,301999646000,0.13,688251,9.65,2.16,154020,0.54,8000,-7145652000.0,467489000.0,70850487000.0,-64172324000.0,0.0,63807906000.0,974308000.0,33468122000.0,203749310000.0,301999646000.0,147299337,72351916,49.12,147299337,49.12,5656,203812,2.78
38,2013-05-27,29800,29980,29740,29780,122928,183643997760,0.2,688251,9.67,2.16,154020,0.54,8000,27615744000.0,66360000.0,-20895844000.0,-6786260000.0,0.0,20028614000.0,1267226000.0,47202101000.0,115146056760.0,183643997760.0,147299337,72298229,49.1,147299337,49.1,776,122928,0.63
39,2013-05-28,29620,29920,29620,29680,231761,344688537782,-0.34,688251,9.64,2.16,154020,0.54,8000,41226570000.0,-27826000.0,5324268000.0,-46523012000.0,0.0,31303467000.0,990322000.0,35348003000.0,277046745782.0,344688537782.0,147299337,72293818,49.1,147299337,49.1,2432,231761,1.05
40,2013-05-29,29680,30460,29660,30240,295211,444905688057,1.89,688251,9.82,2.2,154020,0.53,8000,41353332000.0,-3297709000.0,-133450613000.0,95394990000.0,0.0,76162161000.0,7107971000.0,232420162000.0,129215394057.0,444905688057.0,147299337,72263089,49.06,147299337,49.06,3213,295211,1.09
41,2013-05-30,30360,30980,30240,30880,455560,700577422142,2.12,688251,10.02,2.24,154020,0.52,8000,88021795000.0,-1085577000.0,-286532422000.0,199596204000.0,0.0,105276687000.0,6279717000.0,372982097000.0,216038921142.0,700577422142.0,147299337,72328577,49.1,147299337,49.1,10273,455560,2.26
42,2013-05-31,30920,31180,30740,30760,360501,557861694385,-0.39,688251,9.99,2.23,154020,0.52,8000,46556919000.0,-1412876000.0,-119378181000.0,74234138000.0,0.0,65906973000.0,5715450000.0,183374691000.0,302864580385.0,557861694385.0,147299337,72460205,49.2,147299337,49.2,13265,360501,3.68
43,2013-06-03,30720,31180,30560,30640,206189,318805569360,-0.39,688251,9.95,2.23,154020,0.52,8000,-345761000.0,-590866000.0,-33651000000.0,34587627000.0,0.0,73441392000.0,1188993000.0,91387229000.0,152787955360.0,318805569360.0,147299337,72508341,49.22,147299337,49.22,11303,206189,5.48
44,2013-06-04,30660,30840,30420,30800,169932,260101515986,0.52,688251,10.0,2.24,154020,0.52,8000,-15874299000.0,-121185000.0,-2890848000.0,18886332000.0,0.0,83055668000.0,1070056000.0,62695340000.0,113280451986.0,260101515986.0,147299337,72532152,49.25,147299337,49.25,12477,169932,7.34
45,2013-06-05,30980,31060,30420,30420,271813,418047924536,-1.23,688251,9.88,2.21,154020,0.53,8000,50831139000.0,-7843871000.0,-22212646000.0,-20774622000.0,0.0,101734915000.0,9582980000.0,80316467000.0,226413562536.0,418047924536.0,147299337,72544324,49.25,147299337,49.25,10815,271813,3.98
