data,algorithm,rmse,r2
고가 PER foreign_보유수량 MA20 종가,gru,906.7330365894693,0.9827866922763984
고가 MA5 WMA PER 종가,gru,908.9634694584392,0.9827019035975588
고가 시가 MA5 PER 종가,gru,909.2215868964905,0.9826920779567516
고가 MA5 foreign_보유수량 MA20 종가,lstmgru,909.3613638340798,0.9826867559663091
고가 MA5 PER foreign_보유수량 종가,gru,909.5819870044365,0.9826783541003509
고가 MA5 WMA MA20 종가,gru,910.423455004002,0.982646290244665
WMA PER foreign_보유수량 MA20 종가,lstmgru,911.2224479505609,0.9826158174447098
고가 MA5 foreign_보유수량 MA20 종가,lstm,911.3170325680386,0.9826122083115096
고가 WMA foreign_보유수량 MA20 종가,gru,911.5705993823316,0.9826025309321373
고가 MA5 PER MA20 종가,lstm,911.6179154132251,0.9826007248173978
고가 WMA foreign_보유수량 MA20 종가,lstmgru,912.2718324575881,0.9825757543487414
고가 MA5 WMA foreign_보유수량 종가,gru,912.7520087952454,0.9825574069393752
고가 시가 MA5 MA20 종가,gru,912.8059377106406,0.9825553457268984
고가 PER foreign_보유수량 MA20 종가,lstm,913.3454204164387,0.9825347195018682
고가 MA5 foreign_보유수량 MA20 종가,gru,913.5711547260564,0.9825260853090523
고가 시가 foreign_보유수량 MA20 종가,gru,913.7013652941434,0.9825211038678271
고가 시가 PER MA20 종가,gru,914.5110873061491,0.982490110550545
MA5 WMA PER foreign_보유수량 종가,gru,914.599545718898,0.982486723009464
고가 MA5 PER MA20 종가,gru,914.6382408734219,0.9824852410640635
고가 시가 MA5 WMA 종가,gru,915.0007081704675,0.9824713562624151
고가 WMA foreign_보유수량 MA20 종가,lstm,915.7179435545962,0.9824438653745059
고가 시가 PER foreign_보유수량 종가,gru,915.8632565064926,0.9824382930556915
고가 시가 WMA foreign_보유수량 종가,lstm,915.9728671216893,0.982434089230115
고가 MA5 WMA foreign_보유수량 종가,lstm,916.201606239113,0.9824253149251884
고가 MA5 PER foreign_보유수량 종가,lstmgru,916.4258863968577,0.9824167095362446
MA5 PER foreign_보유수량 MA20 종가,gru,916.8995188350306,0.9823985298472515
고가 시가 WMA foreign_보유수량 종가,gru,916.9052270769405,0.9823983106874411
고가 MA5 WMA MA20 종가,lstm,917.3810665007107,0.9823800367137352
WMA PER foreign_보유수량 MA20 종가,gru,918.2377404215518,0.9823471134031729
고가 PER foreign_보유수량 MA20 종가,lstmgru,918.5921885126378,0.9823334824243611
고가 시가 MA5 MA20 종가,lstm,918.7326600351834,0.9823280788679192
고가 시가 MA5 foreign_보유수량 종가,gru,919.1191226078734,0.982313208443005
MA5 PER foreign_보유수량 MA20 종가,lstmgru,919.360403358654,0.9823039211974768
고가 시가 WMA foreign_보유수량 종가,lstmgru,919.4442734453872,0.9823006923454259
시가 WMA PER foreign_보유수량 종가,gru,919.4650406220215,0.9822998927998525
저가 고가 MA5 foreign_보유수량 종가,gru,919.5186389241783,0.9822978291578366
저가 고가 WMA foreign_보유수량 종가,gru,919.5378575599367,0.9822970891725562
고가 시가 WMA PER 종가,gru,919.6284477775964,0.982293600921304
고가 시가 PER foreign_보유수량 종가,lstmgru,919.9146120611713,0.9822825796716491
고가 MA5 WMA foreign_보유수량 종가,lstmgru,919.9999673478064,0.9822792916585448
고가 시가 WMA MA20 종가,gru,920.4214902081214,0.9822630494951734
저가 고가 시가 foreign_보유수량 종가,gru,920.609023283013,0.9822558210595905
저가 고가 WMA MA20 종가,gru,920.7153478245506,0.9822517221411774
고가 WMA PER foreign_보유수량 종가,lstmgru,920.7848687970185,0.9822490417815574
고가 MA5 PER foreign_보유수량 종가,lstm,920.9367891273752,0.9822431838358091
고가 WMA PER MA20 종가,gru,921.1810967008287,0.9822337614734216
시가 MA5 PER foreign_보유수량 종가,gru,921.3116622991943,0.9822287248438961
고가 MA5 WMA PER 종가,lstm,921.5102421090636,0.9822210631656417
고가 WMA PER foreign_보유수량 종가,lstm,921.5668430170202,0.9822188790664839
시가 MA5 PER MA20 종가,gru,921.7766799348999,0.9822107807707967
시가 MA5 WMA foreign_보유수량 종가,gru,921.8986507526738,0.9822060726691112
MA5 WMA foreign_보유수량 MA20 종가,lstm,921.944191485457,0.9822043146266101
MA5 WMA PER foreign_보유수량 종가,lstm,922.0610085011932,0.9821998046560946
고가 MA5 WMA MA20 종가,lstmgru,922.7650930239423,0.9821726098675535
시가 WMA foreign_보유수량 MA20 종가,gru,922.7965928488844,0.9821713927230009
MA5 PER foreign_보유수량 MA20 종가,lstm,922.8893387784698,0.9821678088045899
저가 고가 MA5 foreign_보유수량 종가,lstmgru,923.1300048161895,0.9821585072292246
시가 WMA PER MA20 종가,gru,923.3532912052023,0.9821498751963145
저가 고가 PER foreign_보유수량 종가,gru,923.6343376957352,0.9821390072469325
시가 MA5 PER foreign_보유수량 종가,lstmgru,923.7535224154976,0.9821343974253283
고가 MA5 WMA PER 종가,lstmgru,924.1288654229689,0.9821198760379962
MA5 WMA PER MA20 종가,gru,924.4078327142959,0.9821090794428512
고가 시가 MA5 MA20 종가,lstmgru,924.4549611157173,0.9821072551571857
저가 고가 MA5 WMA 종가,gru,925.2284971420427,0.9820772991854805
고가 시가 foreign_보유수량 MA20 종가,lstmgru,925.3098465525849,0.982074147390551
고가 WMA PER MA20 종가,lstm,925.4240742841283,0.9820697212929035
고가 시가 MA5 foreign_보유수량 종가,lstmgru,925.7283422190197,0.9820579288489979
저가 고가 시가 MA5 종가,gru,926.2757145808156,0.9820367047016257
고가 시가 PER MA20 종가,lstm,926.6004132673035,0.9820241087097565
고가 시가 WMA MA20 종가,lstm,926.7174586387599,0.9820195671021157
고가 시가 MA5 WMA 종가,lstm,926.7706684285943,0.9820175022602087
시가 PER foreign_보유수량 MA20 종가,gru,926.9863622460159,0.982009130901303
시가 MA5 foreign_보유수량 MA20 종가,gru,927.2666765235446,0.9819982486269182
MA5 WMA foreign_보유수량 MA20 종가,lstmgru,927.3289870304638,0.9819958291806686
고가 WMA PER MA20 종가,lstmgru,927.5257779338127,0.9819881869457556
MA5 WMA PER foreign_보유수량 종가,lstmgru,927.5666430027463,0.9819865997765056
시가 MA5 foreign_보유수량 MA20 종가,lstm,927.7509662288518,0.9819794399288199
고가 시가 MA5 foreign_보유수량 종가,lstm,928.0876629893429,0.9819663576138181
저가 고가 MA5 MA20 종가,gru,928.309083759435,0.9819577517472249
저가 고가 MA5 PER 종가,gru,928.4569369575185,0.9819520040569606
시가 MA5 foreign_보유수량 MA20 종가,lstmgru,928.4619310098315,0.9819518099006681
저가 고가 WMA foreign_보유수량 종가,lstmgru,928.4821166259308,0.9819510251236413
시가 MA5 WMA PER 종가,gru,928.5347482908054,0.9819489788278554
고가 시가 MA5 PER 종가,lstm,928.5676424322301,0.9819476998593261
고가 시가 foreign_보유수량 MA20 종가,lstm,928.5983211706322,0.9819465069878172
고가 WMA PER foreign_보유수량 종가,gru,928.9822369976646,0.9819315759798475
저가 고가 foreign_보유수량 MA20 종가,gru,929.3539970701728,0.9819171118439698
고가 시가 MA5 WMA 종가,lstmgru,929.4605608694854,0.9819129646799213
시가 MA5 WMA foreign_보유수량 종가,lstmgru,929.5227038636389,0.9819105460294658
저가 시가 PER foreign_보유수량 종가,gru,929.574769363376,0.9819085194779149
MA5 WMA foreign_보유수량 MA20 종가,gru,929.6905799140359,0.9819040113632279
시가 MA5 WMA PER 종가,lstm,930.1093353522252,0.9818877059376877
고가 MA5 PER MA20 종가,lstmgru,930.1777919135026,0.9818850396898605
시가 MA5 WMA MA20 종가,gru,930.3271638837177,0.981879221265479
시가 MA5 PER foreign_보유수량 종가,lstm,930.4147375505715,0.9818758096103303
시가 MA5 WMA MA20 종가,lstm,930.4518947816581,0.9818743619587599
저가 시가 PER MA20 종가,gru,930.4835413140243,0.9818731289592915
저가 고가 MA5 WMA 종가,lstm,930.637743976427,0.9818671203771575
저가 시가 WMA foreign_보유수량 종가,gru,930.6395892215473,0.9818670484702506
고가 시가 WMA PER 종가,lstm,930.646807047649,0.9818667671991765
저가 고가 PER MA20 종가,gru,930.7713427498567,0.9818619138306218
저가 고가 MA5 PER 종가,lstm,930.8629197626268,0.9818583445040096
MA5 WMA PER MA20 종가,lstm,930.9518530053916,0.9818548778854799
시가 PER foreign_보유수량 MA20 종가,lstmgru,931.0333254820695,0.9818517017970031
고가 시가 MA5 PER 종가,lstmgru,931.1104074459732,0.981848696610534
저가 고가 foreign_보유수량 MA20 종가,lstmgru,931.386907910383,0.9818379146689532
시가 MA5 WMA foreign_보유수량 종가,lstm,931.4669877879654,0.9818347914124796
저가 고가 PER MA20 종가,lstm,931.5797115164263,0.9818303945332176
저가 고가 MA5 MA20 종가,lstm,931.7089498466744,0.9818253528339907
시가 MA5 PER MA20 종가,lstm,932.1660762126552,0.9818075143265332
저가 시가 foreign_보유수량 MA20 종가,gru,932.5053133922924,0.9817942705694875
저가 고가 시가 MA20 종가,gru,932.8568845411613,0.9817805402117257
저가 고가 시가 WMA 종가,gru,933.2101430937705,0.981766738740692
저가 고가 시가 MA5 종가,lstm,933.21535222195,0.9817665351859818
저가 고가 WMA PER 종가,lstm,933.7021386164272,0.9817475082433046
시가 WMA PER foreign_보유수량 종가,lstmgru,933.9394087090731,0.981738230507947
저가 고가 시가 PER 종가,gru,934.0781532021201,0.981732804228406
시가 WMA PER MA20 종가,lstm,934.6135333787909,0.9817118580212633
저가 MA5 PER MA20 종가,gru,934.7067722030221,0.9817082089195761
저가 시가 MA5 foreign_보유수량 종가,gru,935.2139919989909,0.9816883514066884
저가 WMA PER MA20 종가,gru,935.2167858637022,0.9816882419978352
시가 WMA foreign_보유수량 MA20 종가,lstmgru,935.3435728527855,0.9816832766249451
저가 고가 PER foreign_보유수량 종가,lstm,935.5213924606355,0.9816763115219269
저가 시가 PER foreign_보유수량 종가,lstm,935.8095661790059,0.9816650210933776
저가 MA5 WMA foreign_보유수량 종가,gru,935.9363834410677,0.9816600513870198
저가 고가 시가 WMA 종가,lstm,936.0729709468812,0.9816546980517538
MA5 WMA PER MA20 종가,lstmgru,936.2197098555315,0.9816489459775736
저가 시가 WMA foreign_보유수량 종가,lstmgru,936.2812307552448,0.9816465341282271
고가 시가 PER MA20 종가,lstmgru,936.6403125678831,0.9816324536162003
저가 PER foreign_보유수량 MA20 종가,lstmgru,936.8834619341297,0.9816229160447523
저가 WMA foreign_보유수량 MA20 종가,gru,937.086380245551,0.9816149546475643
저가 고가 MA5 WMA 종가,lstmgru,937.1174919083808,0.9816137338447882
저가 MA5 foreign_보유수량 MA20 종가,lstmgru,937.164979104675,0.9816118703978683
시가 WMA foreign_보유수량 MA20 종가,lstm,937.4525132530121,0.98160058524233
저가 시가 MA5 MA20 종가,lstmgru,937.8360162784907,0.981585528107284
시가 MA5 WMA MA20 종가,lstmgru,938.6052816977569,0.9815553065634117
저가 고가 WMA PER 종가,gru,938.7001976640727,0.9815515759549138
저가 고가 시가 MA20 종가,lstm,938.8626106093711,0.9815451915478414
저가 시가 foreign_보유수량 MA20 종가,lstm,938.8839517045382,0.9815443525533064
저가 MA5 PER foreign_보유수량 종가,gru,938.8967191533196,0.9815438506102596
저가 고가 foreign_보유수량 MA20 종가,lstm,939.3227470643938,0.981527097716132
저가 PER foreign_보유수량 MA20 종가,lstm,939.388246223069,0.9815245213881403
저가 고가 WMA foreign_보유수량 종가,lstm,939.6125145209436,0.9815156987128303
저가 WMA foreign_보유수량 MA20 종가,lstmgru,939.8833358515843,0.9815050418422242
저가 시가 MA5 MA20 종가,gru,939.9441837745151,0.9815026470424142
저가 고가 WMA MA20 종가,lstm,940.0794124456654,0.9814973242744495
저가 고가 MA5 MA20 종가,lstmgru,940.1439934342893,0.9814947820165961
저가 고가 시가 foreign_보유수량 종가,lstmgru,940.2011600206994,0.9814925314840965
저가 고가 PER foreign_보유수량 종가,lstmgru,940.5640209781067,0.9814782431935772
고가 시가 WMA PER 종가,lstmgru,940.7624288844515,0.9814704282006453
저가 고가 WMA MA20 종가,lstmgru,941.2015339800441,0.9814531266418163
저가 WMA foreign_보유수량 MA20 종가,lstm,941.3685136381248,0.9814465452133404
저가 시가 WMA MA20 종가,lstm,941.4121988948335,0.9814448231858245
저가 고가 시가 PER 종가,lstmgru,941.4571999262338,0.9814430492082774
고가 시가 PER foreign_보유수량 종가,lstm,941.4796774726278,0.9814421630932172
저가 고가 시가 WMA 종가,lstmgru,941.6320332680032,0.9814361563299426
저가 고가 PER MA20 종가,lstmgru,941.895024574753,0.9814257853758862
저가 PER foreign_보유수량 MA20 종가,gru,942.6058518639248,0.9813977397013409
시가 MA5 WMA PER 종가,lstmgru,942.61710578815,0.9813972955078806
저가 고가 WMA PER 종가,lstmgru,942.6717861576051,0.9813951371930106
시가 MA5 PER MA20 종가,lstmgru,943.1455174786013,0.981376433077774
