n_neighbors,weights,metric,leaf_size,RMSE,R2
10,uniform,manhattan,10,1008.5801792126159,0.9784021072124128
15,uniform,euclidean,50,1008.7327108870332,0.9783955740444434
15,uniform,euclidean,30,1008.7327108870332,0.9783955740444434
15,uniform,minkowski,50,1008.7327108870332,0.9783955740444434
15,uniform,minkowski,30,1008.7327108870332,0.9783955740444434
15,uniform,euclidean,20,1009.0510588111507,0.9783819355268111
15,uniform,minkowski,20,1009.0510588111507,0.9783819355268111
10,uniform,manhattan,20,1009.4994930753245,0.9783627166084482
10,uniform,manhattan,30,1009.5996416719295,0.9783584232906843
10,uniform,manhattan,50,1009.5996416719295,0.9783584232906843
15,uniform,euclidean,10,1009.7574908366838,0.9783516555151869
15,uniform,minkowski,10,1009.7574908366838,0.9783516555151869
15,uniform,manhattan,10,1012.3648080628094,0.9782397138365387
15,uniform,manhattan,30,1012.9220959671395,0.9782157499809205
15,uniform,manhattan,50,1012.9220959671395,0.9782157499809205
15,uniform,manhattan,20,1013.0558406523915,0.9782099968829819
10,uniform,minkowski,10,1017.7994624956104,0.9780054562646882
10,uniform,euclidean,10,1017.7994624956104,0.9780054562646882
10,uniform,minkowski,20,1019.2472306202612,0.9779428395154437
10,uniform,euclidean,20,1019.2472306202612,0.9779428395154437
10,uniform,euclidean,50,1020.767504548681,0.9778769910474998
10,uniform,euclidean,30,1020.767504548681,0.9778769910474998
10,uniform,minkowski,50,1020.767504548681,0.9778769910474998
10,uniform,minkowski,30,1020.767504548681,0.9778769910474998
15,distance,minkowski,50,1025.1121481676792,0.9776882680768774
15,distance,minkowski,30,1025.1121481676792,0.9776882680768774
15,distance,euclidean,30,1025.1121481676792,0.9776882680768774
15,distance,euclidean,50,1025.1121481676792,0.9776882680768774
15,distance,minkowski,20,1025.2636024743804,0.9776816747348224
15,distance,euclidean,20,1025.2636024743804,0.9776816747348224
15,distance,euclidean,10,1025.7048122748665,0.9776624617585767
15,distance,minkowski,10,1025.7048122748665,0.9776624617585767
20,distance,euclidean,10,1028.9033201879454,0.9775229319639099
20,distance,minkowski,10,1028.9033201879454,0.9775229319639099
20,distance,minkowski,30,1029.063989420691,0.9775159115662236
20,distance,minkowski,50,1029.063989420691,0.9775159115662236
20,distance,euclidean,30,1029.063989420691,0.9775159115662236
20,distance,euclidean,50,1029.063989420691,0.9775159115662236
20,distance,minkowski,20,1029.2308963392686,0.9775086174537275
20,distance,euclidean,20,1029.2308963392686,0.9775086174537275
