n_estimators,max_depth,num_leaves,learning_rate,RMSE,R2
500,20,20,0.01,987.7137802055552,0.9792865352934149
500,-1,20,0.01,987.7137802055552,0.9792865352934149
500,10,20,0.01,987.7534581854309,0.9792848710765939
100,20,10,0.05,988.5968651500647,0.979249480174317
100,-1,10,0.05,988.5968651500647,0.979249480174317
100,10,10,0.05,988.5968651500647,0.979249480174317
100,10,20,0.05,988.8109931813019,0.9792404901616731
100,-1,20,0.05,989.2907483146884,0.9792203409166302
100,20,20,0.05,989.2907483146884,0.9792203409166302
500,20,10,0.01,989.3189136688092,0.979219157695643
500,10,10,0.01,989.3189136688092,0.979219157695643
500,-1,10,0.01,989.3189136688092,0.979219157695643
500,20,31,0.01,989.4541666753148,0.9792134752741537
500,-1,31,0.01,989.4541666753148,0.9792134752741537
500,10,31,0.01,989.4680884823794,0.9792128903293784
100,-1,31,0.05,991.5714211081894,0.9791244212275017
100,20,31,0.05,991.5714211081894,0.9791244212275017
100,10,31,0.05,991.5835778925322,0.9791239093501735
200,-1,10,0.03,994.9566508400222,0.9789816392554745
200,10,10,0.03,994.9566508400222,0.9789816392554745
200,20,10,0.03,994.9566508400222,0.9789816392554745
200,10,20,0.03,997.1138606604477,0.9788903987635295
200,20,20,0.03,997.4772792204601,0.9788750083066796
200,-1,20,0.03,997.4772792204601,0.9788750083066796
300,10,10,0.03,998.1245338630717,0.9788475837518315
300,20,10,0.03,998.1245338630717,0.9788475837518315
300,-1,10,0.03,998.1245338630717,0.9788475837518315
100,10,10,0.1,999.7450055975439,0.9787788454009865
100,20,10,0.1,999.7450055975439,0.9787788454009865
100,-1,10,0.1,999.7450055975439,0.9787788454009865
200,20,31,0.03,999.752734819383,0.9787785172700237
200,-1,31,0.03,999.752734819383,0.9787785172700237
200,10,31,0.03,999.8016878017824,0.97877643899553
200,20,10,0.05,1000.1643403602039,0.9787610395924362
200,10,10,0.05,1000.1643403602039,0.9787610395924362
200,-1,10,0.05,1000.1643403602039,0.9787610395924362
300,20,10,0.05,1001.5254573906388,0.9787031923359631
300,10,10,0.05,1001.5254573906388,0.9787031923359631
300,-1,10,0.05,1001.5254573906388,0.9787031923359631
500,-1,10,0.03,1001.546083479367,0.978702315125375
500,10,10,0.03,1001.546083479367,0.978702315125375
500,20,10,0.03,1001.546083479367,0.978702315125375
500,-1,10,0.05,1007.179680774353,0.9784620465507493
500,10,10,0.05,1007.179680774353,0.9784620465507493
500,20,10,0.05,1007.179680774353,0.9784620465507493
300,10,20,0.03,1009.1594265632356,0.9783772919028261
200,-1,10,0.1,1009.36070742301,0.9783686655724418
200,10,10,0.1,1009.36070742301,0.9783686655724418
200,20,10,0.1,1009.36070742301,0.9783686655724418
300,20,20,0.03,1010.039626896778,0.9783395563092641
300,-1,20,0.03,1010.039626896778,0.9783395563092641
200,10,20,0.05,1010.2110733688858,0.9783322022971357
300,-1,10,0.1,1011.0371997852874,0.9782967489948026
300,20,10,0.1,1011.0371997852874,0.9782967489948026
300,10,10,0.1,1011.0371997852874,0.9782967489948026
100,10,20,0.1,1011.057224692893,0.9782958892640228
200,20,20,0.05,1011.4598043670594,0.978278601670053
200,-1,20,0.05,1011.4598043670594,0.978278601670053
300,10,31,0.03,1011.9081160239222,0.9782593421520357
100,-1,20,0.1,1012.576783262246,0.978230600276142
100,20,20,0.1,1012.576783262246,0.978230600276142
200,10,31,0.05,1013.3556956519941,0.9781970957020371
100,10,31,0.1,1014.2985082295133,0.9781565065682811
300,20,31,0.03,1015.2180518378797,0.9781168828294738
300,-1,31,0.03,1015.2404115982291,0.9781159188855347
500,10,20,0.03,1015.4246451549226,0.9781079756479091
300,10,20,0.05,1015.447948535986,0.9781069708189598
100,20,31,0.1,1015.8908681747816,0.9780878679838317
500,-1,20,0.03,1016.9918639499627,0.9780403466631065
500,20,20,0.03,1016.9918639499627,0.9780403466631065
500,10,31,0.03,1018.1132681204938,0.9779918915580804
300,-1,20,0.05,1018.1555319299885,0.9779900643236503
300,20,20,0.05,1018.1555319299885,0.9779900643236503
100,-1,31,0.1,1018.1757131751957,0.977989191780513
200,-1,31,0.05,1018.2110831621565,0.9779876625051394
200,20,31,0.05,1018.4287223931942,0.977978251371656
300,10,31,0.05,1018.7647199615569,0.9779637182494068
500,10,10,0.1,1018.939322743796,0.9779561641483626
500,-1,10,0.1,1018.939322743796,0.9779561641483626
500,20,10,0.1,1018.939322743796,0.9779561641483626
500,10,20,0.05,1019.0444218278083,0.9779516164655172
200,10,20,0.1,1019.4484001640138,0.9779341317816038
200,10,31,0.1,1019.5294082976352,0.9779306248148535
200,-1,20,0.1,1021.4901406536864,0.9778456566960838
200,20,20,0.1,1021.4901406536864,0.9778456566960838
500,20,31,0.03,1021.803828300539,0.9778320479286495
300,-1,31,0.05,1021.8348342843043,0.9778307025635776
500,-1,31,0.03,1021.9456029660422,0.9778258959218997
500,20,20,0.05,1021.962433931054,0.9778251655216863
500,-1,20,0.05,1021.962433931054,0.9778251655216863
300,20,31,0.05,1022.274079514913,0.9778116391087586
300,10,20,0.1,1022.5766752807843,0.977798501540492
500,10,31,0.05,1023.2922154767151,0.9777674200127829
200,20,31,0.1,1023.7787453968476,0.9777462737817082
300,20,20,0.1,1024.6673964410622,0.9777076240638203
