data,model,rmse,r2
고가 종가,KNN,1009.3184007692354,0.9783704788591898
고가 종가,KNN,1009.3184007692354,0.9783704788591898
고가 종가,KNN,1009.3184007692354,0.9783704788591898
고가 시가 종가,KNN,1052.598410191128,0.9764757415409112
고가 시가 종가,KNN,1052.598410191128,0.9764757415409112
고가 시가 종가,KNN,1052.598410191128,0.9764757415409112
저가 고가 종가,KNN,1062.3912936843244,0.9760359879767776
저가 고가 종가,KNN,1062.3912936843244,0.9760359879767776
저가 고가 종가,KNN,1062.3912936843244,0.9760359879767776
저가 종가,KNN,1070.70116381634,0.9756596357937324
저가 종가,KNN,1070.70116381634,0.9756596357937324
저가 종가,KNN,1070.70116381634,0.9756596357937324
시가 종가,KNN,1075.679236353094,0.97543277552758
시가 종가,KNN,1075.679236353094,0.97543277552758
시가 종가,KNN,1075.679236353094,0.97543277552758
저가 고가 시가 종가,KNN,1077.48245781541,0.9753503396557132
저가 고가 시가 종가,KNN,1077.48245781541,0.9753503396557132
저가 고가 시가 종가,KNN,1077.48245781541,0.9753503396557132
고가 MA5 종가,KNN,1092.9214177110753,0.9746388818998096
고가 MA5 종가,KNN,1092.9214177110753,0.9746388818998096
고가 MA5 종가,KNN,1092.9214177110753,0.9746388818998096
저가 고가 MA5 종가,KNN,1110.7049288265443,0.9738068384812236
저가 고가 MA5 종가,KNN,1110.7049288265443,0.9738068384812236
저가 고가 MA5 종가,KNN,1110.7049288265443,0.9738068384812236
저가 시가 종가,KNN,1112.66066290102,0.9737145152054236
저가 시가 종가,KNN,1112.66066290102,0.9737145152054236
저가 시가 종가,KNN,1112.66066290102,0.9737145152054236
고가 시가 MA5 종가,KNN,1127.9352540748498,0.972987867915452
고가 시가 MA5 종가,KNN,1127.9352540748498,0.972987867915452
고가 시가 MA5 종가,KNN,1127.9352540748498,0.972987867915452
저가 고가 PER 종가,RF,1130.710640476242,0.9728547727968992
저가 고가 PER 종가,RF,1130.710640476242,0.9728547727968992
저가 고가 PER 종가,RF,1130.710640476242,0.9728547727968992
MA5 종가,KNN,1131.5403431557672,0.972814920459252
MA5 종가,KNN,1131.5403431557672,0.972814920459252
MA5 종가,KNN,1131.5403431557672,0.972814920459252
저가 MA5 종가,KNN,1140.5922879547818,0.972378237646986
저가 MA5 종가,KNN,1140.5922879547818,0.972378237646986
저가 MA5 종가,KNN,1140.5922879547818,0.972378237646986
저가 foreign_보유수량 종가,LGBM,1142.205382862678,0.9723000536509318
저가 foreign_보유수량 종가,LGBM,1142.205382862678,0.9723000536509318
저가 foreign_보유수량 종가,LGBM,1142.205382862678,0.9723000536509318
저가 PER 종가,RF,1147.4187049010443,0.9720466170931372
저가 PER 종가,RF,1147.4187049010443,0.9720466170931372
저가 PER 종가,RF,1147.4187049010443,0.9720466170931372
저가 고가 WMA 종가,KNN,1151.1126813464152,0.971866342267968
저가 고가 WMA 종가,KNN,1151.1126813464152,0.971866342267968
저가 고가 WMA 종가,KNN,1151.1126813464152,0.971866342267968
고가 시가 foreign_보유수량 종가,RF,1153.520339670337,0.97174853091099
고가 시가 foreign_보유수량 종가,RF,1153.520339670337,0.97174853091099
고가 시가 foreign_보유수량 종가,RF,1153.520339670337,0.97174853091099
고가 WMA 종가,KNN,1161.574575379557,0.9713526325907328
고가 WMA 종가,KNN,1161.574575379557,0.9713526325907328
고가 WMA 종가,KNN,1161.574575379557,0.9713526325907328
저가 시가 MA5 종가,KNN,1165.822793989669,0.9711427057746068
저가 시가 MA5 종가,KNN,1165.822793989669,0.9711427057746068
저가 시가 MA5 종가,KNN,1165.822793989669,0.9711427057746068
시가 MA5 종가,KNN,1166.1911685571206,0.9711244663426736
시가 MA5 종가,KNN,1166.1911685571206,0.9711244663426736
시가 MA5 종가,KNN,1166.1911685571206,0.9711244663426736
foreign_보유수량 종가,LGBM,1167.8881328852688,0.9710403696641496
foreign_보유수량 종가,LGBM,1167.8881328852688,0.9710403696641496
foreign_보유수량 종가,LGBM,1167.8881328852688,0.9710403696641496
저가 PER foreign_보유수량 종가,LGBM,1169.065211013996,0.970981965225378
저가 PER foreign_보유수량 종가,LGBM,1169.065211013996,0.970981965225378
저가 PER foreign_보유수량 종가,LGBM,1169.065211013996,0.970981965225378
저가 종가,LGBM,1175.2545443049994,0.9706738939263015
저가 종가,LGBM,1175.2545443049994,0.9706738939263015
저가 종가,LGBM,1175.2545443049994,0.9706738939263015
저가 고가 종가,RF,1178.017521795615,0.9705358427824826
저가 고가 종가,RF,1178.017521795615,0.9705358427824826
저가 고가 종가,RF,1178.017521795615,0.9705358427824826
고가 시가 WMA 종가,KNN,1178.483902899086,0.9705125082461792
고가 시가 WMA 종가,KNN,1178.483902899086,0.9705125082461792
고가 시가 WMA 종가,KNN,1178.483902899086,0.9705125082461792
시가 PER 종가,RF,1187.0155170817204,0.9700840144127508
시가 PER 종가,RF,1187.0155170817204,0.9700840144127508
시가 PER 종가,RF,1187.0155170817204,0.9700840144127508
고가 MA5 WMA 종가,KNN,1190.3001669392424,0.9699182213100498
고가 MA5 WMA 종가,KNN,1190.3001669392424,0.9699182213100498
고가 MA5 WMA 종가,KNN,1190.3001669392424,0.9699182213100498
PER 종가,RF,1190.9915738837185,0.9698832640918156
PER 종가,RF,1190.9915738837185,0.9698832640918156
PER 종가,RF,1190.9915738837185,0.9698832640918156
저가 WMA 종가,KNN,1192.6146276530726,0.9698011234792844
저가 WMA 종가,KNN,1192.6146276530726,0.9698011234792844
저가 WMA 종가,KNN,1192.6146276530726,0.9698011234792844
고가 시가 종가,RF,1193.7027668941,0.969745991548516
고가 시가 종가,RF,1193.7027668941,0.969745991548516
고가 시가 종가,RF,1193.7027668941,0.969745991548516
고가 종가,RF,1193.8336004445878,0.9697393593174956
고가 종가,RF,1193.8336004445878,0.9697393593174956
고가 종가,RF,1193.8336004445878,0.9697393593174956
저가 고가 시가 종가,RF,1194.1615461664155,0.9697227318567058
저가 고가 시가 종가,RF,1194.1615461664155,0.9697227318567058
저가 고가 시가 종가,RF,1194.1615461664155,0.9697227318567058
