data,model,rmse,r2
저가 고가 시가 MA5 종가,KNN,1154.5573615215408,0.9716977115902847
저가 고가 시가 MA5 종가,RF,1257.8933959521962,0.9664047252710517
저가 고가 시가 MA5 종가,LGBM,1560.0555590142583,0.9483261698249177
저가 고가 시가 WMA 종가,KNN,1171.0669451637873,0.970882507778714
저가 고가 시가 WMA 종가,RF,1291.3192513239385,0.9645955563564896
저가 고가 시가 WMA 종가,LGBM,1603.9441000442064,0.9453778262246236
저가 고가 시가 PER 종가,RF,1173.1356432949544,0.9707795443998277
저가 고가 시가 PER 종가,LGBM,1456.8603012693122,0.9549363524930949
저가 고가 시가 PER 종가,KNN,2106.687967582358,0.9057696178514341
저가 고가 시가 foreign_보유수량 종가,KNN,1184.9716824781133,0.9701869459862131
저가 고가 시가 foreign_보유수량 종가,RF,1206.0836785973986,0.9691151566002976
저가 고가 시가 foreign_보유수량 종가,LGBM,1279.2773748828192,0.9652527882385837
저가 고가 시가 MA20 종가,KNN,1492.989469749636,0.9526735409365557
저가 고가 시가 MA20 종가,RF,1601.7035535581253,0.9455303228619534
저가 고가 시가 MA20 종가,LGBM,2213.2379575728974,0.8959967902862018
저가 고가 MA5 WMA 종가,KNN,1197.8467995479336,0.9695355686115006
저가 고가 MA5 WMA 종가,RF,1375.6446675581824,0.9598206357311183
저가 고가 MA5 WMA 종가,LGBM,1636.7095406747676,0.9431233837821781
저가 고가 MA5 PER 종가,RF,1208.5264473867226,0.9689899232777642
저가 고가 MA5 PER 종가,LGBM,1530.7132395377691,0.9502517051195494
저가 고가 MA5 PER 종가,KNN,2067.333374311023,0.909257329858374
저가 고가 MA5 foreign_보유수량 종가,KNN,1221.1627865515861,0.9683380509789212
저가 고가 MA5 foreign_보유수량 종가,RF,1311.374641464553,0.9634872885172717
저가 고가 MA5 foreign_보유수량 종가,LGBM,1316.0473759342597,0.9632266182720542
저가 고가 MA5 MA20 종가,KNN,1514.9210402307513,0.9512729053196654
저가 고가 MA5 MA20 종가,RF,1546.108272423154,0.9492459935479417
저가 고가 MA5 MA20 종가,LGBM,2232.8403094165797,0.8941463468829435
저가 고가 WMA PER 종가,RF,1191.9168043568766,0.96983645310514
저가 고가 WMA PER 종가,LGBM,1532.4816817008261,0.9501366897135282
저가 고가 WMA PER 종가,KNN,2089.2684666166087,0.9073214945146764
저가 고가 WMA foreign_보유수량 종가,KNN,1231.9357967214457,0.9677769479742635
저가 고가 WMA foreign_보유수량 종가,RF,1288.165422100813,0.964768283920267
저가 고가 WMA foreign_보유수량 종가,LGBM,1478.8868339510823,0.953563400643668
저가 고가 WMA MA20 종가,RF,1500.286286215998,0.9522098050838195
저가 고가 WMA MA20 종가,LGBM,1543.3334059765364,0.9494280108234792
저가 고가 WMA MA20 종가,KNN,1558.0194334287619,0.948460967263608
저가 고가 PER foreign_보유수량 종가,RF,1211.6018254465591,0.9688318976879936
저가 고가 PER foreign_보유수량 종가,LGBM,1276.398858025176,0.9654089825217045
저가 고가 PER foreign_보유수량 종가,KNN,2228.2199853814986,0.8945839708017005
저가 고가 PER MA20 종가,RF,1507.4773795065053,0.9517505762437224
저가 고가 PER MA20 종가,LGBM,1752.1907668038468,0.9348141552743084
저가 고가 PER MA20 종가,KNN,2243.5460263281657,0.8931288482381015
저가 고가 foreign_보유수량 MA20 종가,RF,1550.9882805517564,0.9489250964326041
저가 고가 foreign_보유수량 MA20 종가,KNN,1573.376485970625,0.9474399422676529
저가 고가 foreign_보유수량 MA20 종가,LGBM,1916.1027815630807,0.9220478450587978
저가 시가 MA5 WMA 종가,KNN,1253.042852588677,0.9666633181734745
저가 시가 MA5 WMA 종가,RF,1382.4695135159961,0.9594209711910435
저가 시가 MA5 WMA 종가,LGBM,1691.7315881434756,0.9392350087131164
저가 시가 MA5 PER 종가,RF,1216.6323550246557,0.9685725425848142
저가 시가 MA5 PER 종가,LGBM,1447.8112544812375,0.95549442469244
저가 시가 MA5 PER 종가,KNN,2086.2305159066905,0.9075908213501618
저가 시가 MA5 foreign_보유수량 종가,KNN,1265.2465141462485,0.9660108094691267
저가 시가 MA5 foreign_보유수량 종가,LGBM,1342.3217766873533,0.9617436268759283
저가 시가 MA5 foreign_보유수량 종가,RF,1369.6740256222029,0.9601686558227774
