n_estimators,max_depth,min_samples_leaf,min_samples_split,RMSE,R2
200,5,1,2,1060.8211485686832,0.9761067701293481
300,5,1,5,1061.4590988597151,0.9760780239523886
100,5,1,5,1065.9280894871672,0.9758761657013086
500,5,1,5,1066.9314010349135,0.975830730905623
500,5,1,2,1069.690635610772,0.9757055590041348
300,5,1,2,1080.452158544105,0.97521427620211
200,5,1,5,1082.6408650262188,0.9751137560253526
100,5,1,2,1083.8329677034906,0.9750589210523426
100,,5,10,1088.240068303889,0.9748556769691337
100,5,5,2,1095.4826354557767,0.9745198770843114
200,20,5,10,1096.5492689198181,0.9744702347038584
200,5,5,2,1098.1749641478557,0.9743944799986174
100,5,5,5,1102.428080325947,0.9741957609595754
100,15,5,2,1102.8297951686336,0.9741769518696395
100,10,5,10,1102.9482046398382,0.9741714063944669
200,10,5,5,1103.997557030345,0.9741222360173645
100,15,1,5,1104.6943041154072,0.9740895621295073
200,15,5,2,1105.1158772578624,0.9740697824874497
500,30,5,5,1105.8612728554328,0.9740347910647572
200,20,5,2,1106.4354099156196,0.9740078230192614
200,10,5,2,1107.0822763701656,0.9739774219996773
300,15,5,2,1107.79970338305,0.9739436840382409
200,5,5,5,1107.9140995954103,0.9739383023835118
500,15,5,5,1108.6790199060345,0.9739023031962187
200,,5,10,1108.7545073084564,0.9738987492110281
200,5,5,10,1108.8419768463932,0.973894630798185
300,15,5,10,1109.0011245920537,0.9738871366576448
300,5,5,10,1109.3097593215648,0.9738726002287967
300,30,5,2,1109.3551074018453,0.973870464032608
200,30,1,5,1109.5102839490473,0.973863153524495
500,5,5,5,1109.6457986645141,0.9738567684667472
100,30,5,10,1109.9440340245371,0.9738427137407416
300,30,1,5,1109.9826185528623,0.9738408951191463
500,30,5,10,1110.6525294769988,0.9738093098347134
100,,5,2,1110.8784788402158,0.9737986523670378
200,,5,2,1110.8864488970914,0.9737982763997579
200,30,5,10,1111.7964332228362,0.9737553324546105
500,15,5,10,1112.010620653614,0.9737452194173415
200,30,5,2,1112.0677232721705,0.9737425229409122
500,5,5,2,1112.4548086039842,0.9737242405055622
300,20,5,10,1112.5497470637788,0.9737197554935644
300,10,5,10,1112.8588386388085,0.9737051509681213
300,30,5,5,1112.9117960931983,0.9737026483301361
100,10,1,5,1113.1403368103943,0.9736918466965798
300,20,1,5,1113.4313544393049,0.9736780889753902
100,10,5,2,1113.5668036263833,0.9736716844524799
500,5,5,10,1113.6598808258104,0.9736672829773573
300,5,5,5,1113.9484870177255,0.9736536329032908
300,20,5,5,1113.9520395016993,0.9736534648610569
100,5,1,10,1114.2094869954626,0.9736412854619468
500,5,1,10,1114.2364957850511,0.9736400075593412
300,15,1,5,1115.342022968192,0.9735876737051667
300,15,5,5,1115.6380587774152,0.9735736510432533
300,,5,10,1115.7704811549333,0.9735673772385616
500,15,1,5,1115.935464349731,0.973559559750936
500,20,5,10,1116.0493404189651,0.9735541632255517
500,15,5,2,1116.244368938285,0.9735449196502861
100,20,5,5,1117.1901290975286,0.9735000714770465
500,10,1,5,1118.0957712354505,0.9734570901101538
200,,1,5,1118.3578330995601,0.9734446462752129
500,30,5,2,1118.4287282759688,0.9734412793632929
500,,5,5,1118.465844674632,0.9734395165680516
500,20,1,5,1118.7268475067024,0.9734271189248146
200,15,1,5,1119.0658940299263,0.9734110098841093
500,,1,5,1119.1835493498102,0.9734054186126637
500,10,5,10,1119.375895543751,0.9733962765803612
300,10,1,5,1119.3910734293531,0.9733955551229673
200,30,5,5,1119.7905182501945,0.9733765646127752
500,30,1,5,1119.876215038644,0.9733724895109139
200,20,5,5,1120.0381706593341,0.9733647872546035
500,,5,2,1120.4815601567286,0.973343694917808
300,5,5,2,1120.5345499289194,0.9733411736002171
200,5,1,10,1120.8956373166009,0.9733239894500648
100,20,5,10,1121.797135739739,0.9732810629700339
300,,5,5,1122.6773924818065,0.9732391146508339
100,15,5,10,1123.1706867016514,0.9732155925057431
500,20,5,5,1123.3473990231673,0.973207163676136
500,10,5,2,1123.404334412789,0.9732044476877704
500,10,5,5,1123.805974519888,0.9731852843428931
300,5,1,10,1123.88344834524,0.9731815870672906
100,5,5,10,1123.9047423079508,0.9731805708129881
300,10,5,2,1124.139049596903,0.973169387226803
200,15,5,10,1124.4713679844367,0.9731535215313674
200,20,1,5,1124.489940314153,0.9731526347043985
300,,5,2,1124.9869076334992,0.9731288991226301
200,10,1,2,1125.103568235258,0.9731233257931707
200,10,1,5,1125.1177113971798,0.9731226500801873
200,10,5,10,1125.8108682357793,0.9730895229548792
500,20,5,2,1126.7814058002757,0.973043105057675
200,,5,5,1127.2605974059272,0.973020172012364
100,15,1,2,1127.3591765433764,0.9730154530246321
200,15,5,5,1127.5814179621302,0.9730048128041147
300,30,5,10,1127.585768233053,0.9730046045058888
500,,5,10,1128.8271494592675,0.9729451322690432
200,20,1,10,1129.1272574389948,0.9729307448386867
100,30,5,5,1130.2516841603535,0.9728768048616437
300,,1,5,1130.2808065364243,0.9728754071162098
100,10,5,5,1130.3334256481294,0.9728728815399154
100,30,5,2,1130.5015295908254,0.9728648122135382
300,20,5,2,1130.89820506423,0.9728457662386044
