³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,°Å·¡´ë±Ý,µî¶ô·ü,BPS,PER,PBR,EPS,DIV,DPS,buy_±â°üÇÕ°è,buy_±âÅ¸¹ýÀÎ,buy_°³ÀÎ,buy_¿Ü±¹ÀÎÇÕ°è,buy_ÀüÃ¼,sell_±â°üÇÕ°è,sell_±âÅ¸¹ýÀÎ,sell_°³ÀÎ,sell_¿Ü±¹ÀÎÇÕ°è,sell_ÀüÃ¼,foreign_»óÀåÁÖ½Ä¼ö,foreign_º¸À¯¼ö·®,foreign_ÁöºÐÀ²,foreign_ÇÑµµ¼ö·®,foreign_ÇÑµµ¼ÒÁø·ü,short_°Å·¡·®,short_¸Å¼ö,short_ºñÁß,¾÷Á¾,Á¾¸ñ
2018-04-02,49000,49220,48500,48540,142313,346383448000,-1.38,1156530,15.36,2.1,157967,1.17,28500,-34014927000.0,-263820000.0,127042435000.0,-92763688000.0,0.0,138798770000.0,2040218000.0,54598080000.0,150946380000.0,346383448000.0,128386494,67082604,52.25,128386494,52.25,1832,142313,1.29,IT,»ï¼ºÀüÀÚ
2018-04-03,47880,48140,47280,48120,255365,609108588000,-0.87,1156530,15.23,2.08,157967,1.18,28500,-50571560000.0,3653296000.0,151474949000.0,-104556685000.0,0.0,217733303000.0,1046334000.0,138006021000.0,252322930000.0,609108588000.0,128386494,67057529,52.22,128386494,52.22,5245,255365,2.05,IT,»ï¼ºÀüÀÚ
2018-04-04,48160,48260,46920,46920,247684,586682025000,-2.49,1156530,14.85,2.03,157967,1.21,28500,-120830701000.0,8400324000.0,243366764000.0,-130936387000.0,0.0,274325072000.0,1223977000.0,108472395000.0,202660581000.0,586682025000.0,128386494,67039067,52.22,128386494,52.22,8326,247684,3.36,IT,»ï¼ºÀüÀÚ
2018-04-05,47400,49380,47340,48740,264912,642625208000,3.88,1156530,15.43,2.11,157967,1.17,28500,145523754000.0,-46689000.0,-130713645000.0,-14763420000.0,0.0,159103897000.0,3887156000.0,292352671000.0,187281484000.0,642625208000.0,128386494,66998399,52.2,128386494,52.2,9181,264912,3.47,IT,»ï¼ºÀüÀÚ
2018-04-06,48000,48580,47400,48400,250654,603210892000,-0.7,1156530,15.32,2.09,157967,1.18,28500,18617856000.0,2093462000.0,92187674000.0,-112898992000.0,0.0,212404100000.0,1882012000.0,106692927000.0,282231853000.0,603210892000.0,128386494,66974053,52.16,128386494,52.16,9413,250654,3.76,IT,»ï¼ºÀüÀÚ
2018-04-09,48260,49440,48200,49200,199008,488395543080,1.65,1156530,15.57,2.13,157967,1.16,28500,83924081920.0,2190914000.0,-52164300000.0,-33950695920.0,0.0,120961554080.0,2056345000.0,143979833000.0,221397811000.0,488395543080.0,128386494,66966379,52.16,128386494,52.16,13476,199008,6.77,IT,»ï¼ºÀüÀÚ
2018-04-10,48540,49220,48040,48880,219687,534757298912,-0.65,1156530,15.47,2.11,157967,1.17,28500,3749941088.0,-1408000.0,48041900000.0,-51790433088.0,0.0,173825168912.0,2121523000.0,93314260000.0,265496347000.0,534757298912.0,128386494,66948230,52.16,128386494,52.16,10705,219687,4.87,IT,»ï¼ºÀüÀÚ
2018-04-11,49900,49900,48600,48860,201022,495246434000,-0.04,1156530,15.47,2.11,157967,1.17,28500,-49794111000.0,-2825701000.0,19357113000.0,33262699000.0,0.0,229075776000.0,5174325000.0,109316428000.0,151679905000.0,495246434000.0,128386494,66927070,52.12,128386494,52.12,9254,201022,4.6,IT,»ï¼ºÀüÀÚ
2018-04-12,49440,49440,48880,49000,249325,612210717000,0.29,1156530,15.51,2.12,157967,1.16,28500,-97405355000.0,6523346000.0,13860875000.0,77021134000.0,0.0,307710491000.0,1243141000.0,118188168000.0,185068917000.0,612210717000.0,128386494,66940640,52.12,128386494,52.12,9654,249325,3.87,IT,»ï¼ºÀüÀÚ
2018-04-13,49600,50180,49400,49800,205566,512556399349,1.63,1156530,15.76,2.15,157967,1.14,28500,-7671713349.0,1743102000.0,-105447579000.0,111376190349.0,0.0,189525752349.0,2436366000.0,227981526000.0,92612755000.0,512556399349.0,128386494,66973422,52.16,128386494,52.16,15900,205566,7.73,IT,»ï¼ºÀüÀÚ
