종가,시가,고가,저가,WMA,PER,MA5,MA20,foreign_보유수량,업종
51900,53000,53900,51800,51740,8.65,51580,50190,3389738000,IT
52600,52600,53200,51900,51930.18182,8.77,52008,50414,3388514370,IT
50900,52600,52800,50900,51763.63636,8.49,52108,50613,3389966037,IT
51600,51700,51700,50600,51732.72727,8.6,52000,50756,3388367976,IT
51300,52000,52200,51200,51668.72727,8.55,51660,50901,3387354337,IT
50100,51000,51100,49900,51392.36364,8.35,51300,50946,3387567715,IT
49200,50200,50400,49100,50985.09091,8.2,50620,50962,3385266256,IT
49850,49200,50200,49150,50718.90909,8.31,50410,51011.5,3384136530,IT
49400,50300,50500,49400,50380.90909,8.24,49970,51031.5,3385554977,IT
49500,49900,49900,49350,50110.90909,8.25,49610,51016.5,3383277622,IT
50000,49650,50200,49100,49995.45455,8.34,49590,50999.5,3382559228,IT
51800,50600,52000,50400,50241.81818,8.64,50110,51090.5,3382369713,IT
51400,52000,52000,51100,50430,8.57,50420,51092.5,3383011852,IT
52700,51000,52800,50800,50845.45455,8.79,51080,51088.5,3382263326,IT
52300,52500,53000,52000,51168.18182,8.72,51640,51122.5,3386553527,IT
51300,52200,52500,51300,51290.90909,8.55,51900,51092.5,3386831634,IT
49500,51300,51500,49100,51064.54545,8.25,51440,51044.5,3386404063,IT
50700,50400,50800,49850,51050.90909,8.45,51300,51059.5,3381473413,IT
51300,50500,51700,49950,51130.90909,8.55,51020,51017.5,3404215078,IT
51100,50800,51200,50700,51140,8.52,50780,50922.5,3405723291,IT
51300,51100,51400,50400,51156.36364,8.55,50780,50892.5,3406765955,IT
50600,51800,51800,50500,51021.81818,8.44,51000,50792.5,3407892397,IT
49650,50200,50400,49600,50736.36364,8.28,50790,50730,3406783024,IT
49900,49750,50300,49350,50528.18182,8.32,50510,50645,3404740720,IT
49400,49700,49800,49250,50280,8.24,50170,50550,3402677344,IT
48200,49000,49000,48200,49866.36364,8.04,49550,50455,3401284162,IT
47650,48500,48700,47650,49409.09091,7.95,48960,50377.5,3395277427,IT
46600,47600,47650,46200,48794.54545,7.77,48350,50215,3389440966,IT
47000,47200,47350,46500,48327.27273,7.84,47770,50095,3386155189,IT
47000,47450,47600,46850,47938.18182,7.84,47290,49970,3385161324,IT
47050,47900,47900,47050,47632.72727,7.85,47060,49822.5,3382945254,IT
47250,47000,47250,46200,47440.90909,7.88,46980,49595,3383045834,IT
46650,47050,47050,46150,47200.90909,7.78,46990,49357.5,3382142120,IT
47000,45900,47300,45900,47079.09091,7.84,46990,49072.5,3380312410,IT
47950,47450,48500,47000,47182.72727,8,47180,48855,3379910348,IT
46800,46850,47150,46600,47103.63636,7.8,47130,48630,3382188811,IT
46650,46250,47150,46200,47022.72727,7.78,47010,48487.5,3378102918,IT
