³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,°Å·¡´ë±Ý,µî¶ô·ü,BPS,PER,PBR,EPS,DIV,DPS,buy_±â°üÇÕ°è,buy_±âÅ¸¹ýÀÎ,buy_°³ÀÎ,buy_¿Ü±¹ÀÎÇÕ°è,sell_±â°üÇÕ°è,sell_±âÅ¸¹ýÀÎ,sell_°³ÀÎ,sell_¿Ü±¹ÀÎÇÕ°è,sell_ÀüÃ¼,foreign_»óÀåÁÖ½Ä¼ö,foreign_º¸À¯¼ö·®,foreign_ÁöºÐÀ²,foreign_ÇÑµµ¼ö·®,foreign_ÇÑµµ¼ÒÁø·ü,short_°Å·¡·®,short_¸Å¼ö,short_ºñÁß,¾÷Á¾,Á¾¸ñ,MA5,MA10,MA20,SMA,WMA,MOM,STCK,STCD,SIG,LWR,ADO,RSI,CCI
2018-05-08,52600,53200,51900,52600,23104720,1.22E+12,1.35,28126,8.77,1.87,5997,1.62,850,-55407203100,3123733900,-50801179600,1.03E+11,2.08E+11,4141076500,4.48E+11,5.58E+11,1.22E+12,6419324700,3388514370,52.78,6419324700,52.78,899575,23104720,3.89,IT,»ï¼ºÀüÀÚ,52008,51816,50414,51816,51930.18182,2620,74.97972172,76.01127966,49492.064,-25.89641434,-14203861.24,62.16624098,103.8160702
2018-05-09,52600,52800,50900,50900,16128305,8.31E+11,-3.23,28126,8.49,1.81,5997,1.67,850,-61438287200,742475500,1.7E+11,-1.09E+11,2.62E+11,1655582300,2.73E+11,2.95E+11,8.31E+11,6419324700,3389966037,52.8,6419324700,52.8,1859132,16128305,11.53,IT,»ï¼ºÀüÀÚ,52108,51770,50613,51770,51763.63636,-460,57.42172417,70.11509651,49668.38144,-64.1025641,-19310079.83,53.60011264,48.12653303
2018-05-10,51700,51700,50600,51600,13905263,7.12E+11,1.38,28126,8.6,1.83,5997,1.65,850,11920187400,-2219132300,22928345800,-32629400900,2.46E+11,6215352100,2.29E+11,2.31E+11,7.12E+11,6419324700,3388367976,52.78,6419324700,52.78,607301,13905263,4.37,IT,»ï¼ºÀüÀÚ,52000,51652,50756,51652,51732.72727,-1180,53.61857414,62.00667334,49837.64618,-49.14529915,-16023560.48,56.27203038,31.1182149
2018-05-11,52000,52200,51200,51300,10314997,5.34E+11,-0.58,28126,8.55,1.82,5997,1.66,850,-25470106200,-775180400,-2591043600,28836330200,1.69E+11,1755102500,1.9E+11,1.73E+11,5.34E+11,6419324700,3387354337,52.78,6419324700,52.78,2640549,10314997,25.6,IT,»ï¼ºÀüÀÚ,51660,51620,50901,51620,51668.72727,-320,43.73219373,51.59083068,50000.14034,-55.55555556,-15848023.57,54.81518017,39.89623401
2018-05-14,51000,51100,49900,50100,14909272,7.5E+11,-2.34,28126,8.35,1.78,5997,1.7,850,-49566450100,-1320924550,1.56E+11,-1.05E+11,1.81E+11,6049077450,2.71E+11,2.92E+11,7.5E+11,6419324700,3387567715,52.78,6419324700,52.78,2159352,14909272,14.48,IT,»ï¼ºÀüÀÚ,51300,51440,50946,51440,51392.36364,-1800,38.03418803,45.12831863,53900,-81.1965812,-17498056.45,49.31535192,-38.59716612
2018-05-15,50200,50400,49100,49200,18709146,9.26E+11,-1.8,28126,8.2,1.75,5997,1.73,850,-91879426900,3204514300,1.5E+11,-61038613900,2.05E+11,2667749950,2.46E+11,4.72E+11,9.26E+11,6419324700,3385266256,52.75,6419324700,52.75,4818595,18709146,25.76,IT,»ï¼ºÀüÀÚ,50620,51314,50962,51314,50985.09091,-1260,21.77706553,34.51448243,53820,-97.91666667,-21619415.26,45.618475,-97.00306632
2018-05-16,49200,50200,49150,49850,15918683,7.92E+11,1.32,28126,8.31,1.77,5997,1.71,850,66386686250,-76011849800,-67749281000,77374444550,1.31E+11,78073044750,3.19E+11,2.64E+11,7.92E+11,6419324700,3384136530,52.72,6419324700,52.72,2331346,15918683,14.65,IT,»ï¼ºÀüÀÚ,50410,51259,51011.5,51259,50718.90909,-550,12.17058405,23.99394587,53631.2,-84.375,-19651679.13,48.61452307,-90.96174787
2018-05-17,50300,50500,49400,49400,10365440,5.16E+11,-0.9,28126,8.24,1.76,5997,1.72,850,37187089350,1256862050,77856174950,-1.16E+11,1.01E+11,729702500,1.42E+11,2.72E+11,5.16E+11,6419324700,3385554977,52.75,6419324700,52.75,512949,10365440,4.95,IT,»ï¼ºÀüÀÚ,49970,50985,51031.5,50985,50380.90909,-2740,7.986111111,13.97792023,53449.952,-93.75,-20358274.43,46.6964502,-94.51568238
2018-05-18,49900,49900,49350,49500,6706570,3.32E+11,0.2,28126,8.25,1.76,5997,1.72,850,5546479000,-581924900,20896988750,-25861542850,78358545750,832376800,96180708350,1.57E+11,3.32E+11,6419324700,3383277622,52.7,6419324700,52.7,579606,6706570,8.64,IT,»ï¼ºÀüÀÚ,49610,50635,51016.5,50635,50110.90909,-3500,10.06944444,10.07537987,53275.95392,-91.66666667,-19766542.4,47.19504292,-105.6787305
2018-05-21,49650,50200,49100,50000,9020998,4.49E+11,1.01,28126,8.34,1.78,5997,1.7,850,17999389104,6258318600,-35194714500,10937006796,77986038146,546636550,1.56E+11,2.15E+11,4.49E+11,6419324700,3382559228,52.7,6419324700,52.7,363406,9020998,4.03,IT,»ï¼ºÀüÀÚ,49590,50445,50999.5,50445,49995.45455,-1900,11.11111111,9.722222222,53108.91576,-81.25,-15900946.09,49.72712742,-88.21813687
